topic,term,ground_truth,method,domain,prediction,candidates,exact_match,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy
topic-1309,asset liability management,balance sheet management,mas_langgraph,Finance,Financial risk management,"[""Financial risk management"", ""Asset allocation strategy"", ""Portfolio risk management"", ""Liability hedging"", ""Investment portfolio balancing"", ""Risk and return optimization""]",False,0.653061224489796,0.4165436923503876,False,False
topic-21,attitudes,mindset,mas_langgraph,Psychology,Beliefs,"[""Beliefs"", ""Opinions"", ""Perspectives""]",False,0.2857142857142857,0.44107142090797424,False,False
topic-6701,auditory perception,hearing perception,mas_langgraph,Psychology,Auditory processing,"[""Auditory processing"", ""Sound perception"", ""Perceptual awareness""]",False,0.4864864864864865,0.8198361396789551,False,False
topic-3542,augustine,St. Augustine,mas_langgraph,History,Scholar,"[""Scholar"", ""Biographer"", ""Historian"", ""Researcher"", ""Annalist""]",False,0.21052631578947367,0.35499733686447144,False,False
topic-1313,automatic language analysis,computational linguistics,mas_langgraph,Natural Language Processing,Text analysis,"[""Text analysis"", ""Natural language processing"", ""Sentiment analysis""]",False,0.42105263157894735,0.4271871745586395,False,False
topic-3966,automation,mechanization,mas_langgraph,Computer Science,Artificial intelligence,"[""Artificial intelligence"", ""Machine control"", ""Mechanization""]",False,0.33333333333333337,0.39086487889289856,True,True
topic-1905,autonomy and moral,self-governance and ethics,mas_langgraph,Ethics,Moral agency and autonomy,"[""Moral agency and autonomy"", ""Self-determination and moral"", ""Voluntariness and morality""]",False,0.43999999999999995,0.6077083349227905,False,False
topic-2527,bank - firm relationships,financial partnerships,mas_langgraph,Economics,Financial partnerships,"[""Financial partnerships"", ""Firm associations"", ""Business connections"", ""Corporate alliances"", ""Commercial relationships"", ""Institutional ties"", ""Partnerships"", ""Investment links""]",True,1.0,1.0000001192092896,True,True
topic-5721,banking law,financial law,mas_langgraph,Law,Banking governance,"[""Banking governance"", ""Financial regulation"", ""Monetary legislation"", ""Regulatory framework"", ""Legislative framework""]",False,0.32258064516129037,0.5240826606750488,False,False
topic-1316,banking systems,financial systems,mas_langgraph,Economics/Finance,Cash management systems,"[""Cash management systems"", ""Monetary systems"", ""Financial institutions"", ""Payment frameworks""]",False,0.55,0.6068302392959595,False,False
topic-1318,primary education,elementary education,mas_langgraph,Education,First-level education,"[""First-level education"", ""Basic education""]",False,0.65,0.5544456839561462,False,False
topic-5221,bayesian statistics,Bayesian inference,mas_langgraph,Statistics,Bayesian inference,"[""Bayesian inference"", ""Probabilistic modeling"", ""Conditional probability""]",True,1.0,1.0,True,True
topic-4283,corporate policy and strategy,business strategy,mas_langgraph,Business Administration,Strategic framework,"[""Strategic framework"", ""Management approach"", ""Organizational framework"", ""Business framework""]",False,0.38888888888888884,0.6901602745056152,False,False
topic-1998,business communication and ethics,corporate communication ethics,mas_langgraph,Communication Studies,Interpersonal relations in business,"[""Interpersonal relations in business"", ""Workplace conduct"", ""Corporate social responsibility"", ""Business protocol"", ""Organizational behavior"", ""Professional etiquette"", ""Corporate governance""]",False,0.4,0.4461914896965027,False,False
topic-5551,business modelling,business analytics,mas_langgraph,Management and Organization,Business framework,"[""Business framework"", ""Management structure"", ""Organizational design"", ""Corporate architecture"", ""Operational framework"", ""Strategic planning""]",False,0.5555555555555556,0.4876541793346405,False,False
topic-1320,business economics,managerial economics,mas_langgraph,Economics,Market analysis,"[""Market analysis"", ""Enterprise finance"", ""Business administration"", ""Corporate strategy"", ""Industrial management""]",False,0.4,0.5133317708969116,False,False
topic-1321,business ethics,corporate ethics,mas_langgraph,Economics,Business morals,"[""Business morals"", ""Corporate morality"", ""Market integrity"", ""Commercial virtue"", ""Professional conduct""]",False,0.25806451612903225,0.6879340410232544,False,False
topic-2532,business studies,business administration,mas_langgraph,Economics,Management studies,"[""Management studies"", ""Economic science"", ""Corporate finance"", ""Industrial economics""]",False,0.3414634146341463,0.5300003290176392,False,False
topic-15222,Firm relocation,business relocation,mas_langgraph,Economics,Corporate migration,"[""Corporate migration"", ""Business reorganization"", ""Organizational realignment"", ""Structural adjustment""]",False,0.42105263157894735,0.6451827883720398,False,False
topic-7801,companies,businesses,mas_langgraph,Economics,Corporations,"[""Corporations"", ""Firms"", ""Businesses"", ""Enterprises""]",False,0.2727272727272727,0.7454896569252014,True,True
topic-8685,bounded rationality,limited rationality,mas_langgraph,Economics,Pragmatic rationality,"[""Pragmatic rationality"", ""Limited decision-making"", ""Restricted scope"", ""Cognitive bias"", ""Heuristic approach""]",False,0.7,0.6335318088531494,False,False
topic-5681,information systems management,IT management,mas_langgraph,Information Systems Management belongs to:,Computer Information Technology Management,"[""Computer Information Technology Management"", ""Management of IT Resources and Services"", ""Organizational IT Strategy"", ""IT Governance and Oversight""]",False,0.47272727272727283,0.7332710027694702,False,False
topic-2536,taxes,levies,mas_langgraph,Economics,Tariffs,"[""Tariffs"", ""Fees"", ""Duties"", ""Contributions"", ""Assessments"", ""Excises""]",False,0.3076923076923077,0.3732726573944092,False,False
topic-1327,tax law,fiscal law,mas_langgraph,Law,Legislation,"[""Legislation"", ""Statute"", ""Ordinance"", ""Code""]",False,0.38095238095238093,0.5435700416564941,False,False
topic-1328,investment,investing,mas_langgraph,Finance,Return on investment,"[""Return on investment"", ""Portfolio"", ""Asset allocation"", ""Venture capital"", ""Capitalization""]",False,0.48275862068965514,0.7168512940406799,False,False
topic-11441,investor behaviour,Investor psychology,mas_langgraph,Economics,Investment strategy,"[""Investment strategy"", ""Market participant behavior"", ""Financial decision-making"", ""Capital allocation"", ""Risk-taking behavior"", ""Portfolio choice"", ""Asset management""]",False,0.5263157894736843,0.5983522534370422,False,False
topic-6461,mutual fund,investment fund,mas_langgraph,Finance,Asset management fund,"[""Asset management fund"", ""Portfolio investment trust"", ""Investment portfolio"", ""Financial investment vehicle"", ""Capital pool investment""]",False,0.6111111111111112,0.7970883846282959,False,False
topic-1331,policy evaluation,policy analysis,mas_langgraph,Public Policy Analysis,Evaluation,"[""Evaluation"", ""Analysis"", ""Review"", ""Appraisal"", ""Critique"", ""Examination""]",False,0.24,0.39233940839767456,False,False
topic-4681,mediation,conflict resolution,mas_langgraph,Psychology,Intermediation,"[""Intermediation"", ""Moderating role"", ""Facilitative function""]",False,0.48484848484848486,0.46843189001083374,False,False
topic-9022,assertive outreach,proactive engagement,mas_langgraph,Social Work,Collaborative outreach,"[""Collaborative outreach"", ""Empathic engagement"", ""Informed communication"", ""Client-centered approach""]",False,0.4285714285714286,0.2964739203453064,False,False
topic-2541,berber language,Tamazight,mas_langgraph,Linguistics,Tribal language,"[""Tribal language"", ""Local dialect"", ""Regional vernacular"", ""Patwa language"", ""Tamazight language"", ""Ethnolinguistic variety""]",False,0.33333333333333337,0.22060784697532654,False,False
topic-1997,occupational ethics,professional ethics,mas_langgraph,Ethics,Occupational integrity,"[""Occupational integrity"", ""Professional morality"", ""Workplace values"", ""Corporate conscience"", ""Vocational virtue"", ""Institutional conduct""]",False,0.4390243902439024,0.4982958137989044,False,False
topic-15902,Occupational ethics for ministers,ministerial ethics,mas_langgraph,Theological studies,Ministerial morality,"[""Ministerial morality"", ""Pastoral integrity"", ""Spiritual accountability"", ""Ecclesiastical virtue"", ""Divine stewardship""]",False,0.6842105263157895,0.8596479892730713,False,False
topic-4353,occupational diseases,work-related illnesses,mas_langgraph,Public Health Medicine,Occupational health hazards,"[""Occupational health hazards"", ""Industrial diseases"", ""Health risks associated with work"", ""Workplace health issues"", ""Job-related health problems"", ""Professional sicknesses""]",False,0.29166666666666663,0.4907098114490509,False,False
topic-16804,protected species,endangered species,mas_langgraph,Biology,Threatened species,"[""Threatened species"", ""Endangered species"", ""Listed species""]",False,0.7222222222222221,0.8063585758209229,True,True
topic-2542,decision theory,decision analysis,mas_langgraph,Economics/Statistics,Game theory,"[""Game theory"", ""Statistical inference"", ""Probabilistic modeling"", ""Econometrics""]",False,0.2142857142857143,0.3509179651737213,False,False
topic-2643,decision support systems,decision aid systems,mas_langgraph,Information Systems,Information management systems,"[""Information management systems"", ""Expert systems"", ""Knowledge-based systems"", ""Decision aids"", ""Executive information systems"", ""Business intelligence tools""]",False,0.56,0.5025404691696167,False,False
topic-6807,decision making,decision process,mas_langgraph,Psychology,Rational choice,"[""Rational choice"", ""Thought process"", ""Problem solving"", ""Cognitive judgment""]",False,0.4516129032258065,0.4858524799346924,False,False
topic-1337,information management and technology,information systems management,mas_langgraph,Information Systems Management,Computer information systems management,"[""Computer information systems management"", ""Information technology infrastructure management"", ""Organizational knowledge management"", ""IT service lifecycle management"", ""Data governance and control""]",False,0.8695652173913043,0.9407903552055359,False,False
topic-1338,administrative reform,bureaucratic reform,mas_langgraph,Public Administration,Government restructuring,"[""Government restructuring"", ""Policy overhaul"", ""Governance restructuring"", ""Organizational reorganization"", ""Administrative renewal""]",False,0.32558139534883723,0.6044721603393555,False,False
topic-16164,nan,governance culture,mas_langgraph,Physics,neutron,"[""neutron"", ""ion"", ""proton"", ""atom"", ""electron""]",False,0.4,0.008731283247470856,False,False
topic-1340,management of non-profit organisations,non-profit management,mas_langgraph,Organizational Management,Governance,"[""Administration"", ""Governance"", ""Overseeing"", ""Stewardship"", ""Direction""]",False,0.33333333333333337,0.35512179136276245,False,False
topic-1341,public administration,administrative organisation,mas_langgraph,Public Administration,Government Management,"[""Government Management"", ""Administrative Governance"", ""Public Policy"", ""Executive Management""]",False,0.33333333333333337,0.617343008518219,False,False
topic-3792,administrative procedural law,administrative litigation,mas_langgraph,Law,Procedural governance,"[""Procedural governance"", ""Statutory regulation"", ""Legislative oversight"", ""Regulatory framework""]",False,0.30434782608695654,0.3854205310344696,False,False
topic-8942,consciousness,awareness,mas_langgraph,Psychology,Awareness,"[""Awareness"", ""Perception"", ""Self-awareness"", ""Sentience""]",True,1.0,1.0,True,True
topic-2278,bible (studies),biblical studies,mas_langgraph,Theology,Scripture,"[""Scripture"", ""Sacred books"", ""Canon""]",False,0.31999999999999995,0.6866710782051086,False,False
topic-2332,bible as literature,scriptural literature,mas_langgraph,Literary Studies,Scriptural narrative,"[""Religious scripture"", ""Sacred text"", ""Scriptural narrative"", ""Holy book""]",False,0.7317073170731707,0.7704472541809082,False,False
topic-16882,Bible and culture,scriptural influence on culture,mas_langgraph,Religious Studies,Sacred scripture,"[""Sacred scripture"", ""Sacred writings"", ""Scriptural tradition"", ""Holy book"", ""Divine revelation""]",False,0.42553191489361697,0.22233203053474426,False,False
topic-2330,bible translations,scripture translations,mas_langgraph,Biblical Studies,Sacred texts translations,"[""Sacred texts translations"", ""Divine scriptures"", ""Canonical versions"", ""Scriptural renderings""]",False,0.7659574468085107,0.7207692861557007,False,False
topic-1344,bible studies; exegesis,Bible interpretation,mas_langgraph,Theology/Religious Studies,Theological discourse,"[""Holy scripture explication"", ""Theological discourse"", ""Sacred text interpretation"", ""Scriptural analysis""]",False,0.29268292682926833,0.5826154351234436,False,False
topic-1346,bible studies; new testament,New Testament studies,mas_langgraph,Biblical Studies,Old Testament examination,"[""Old Testament examination"", ""Canonical scripture investigation"", ""Apostolic writings review"", ""Sacred text interpretation"", ""Scriptural analysis""]",False,0.5652173913043479,0.7297983169555664,False,False
topic-1348,biodiversity,natural diversity,mas_langgraph,Ecology,Faunal diversity,"[""Faunal diversity"", ""Ecological variety"", ""Genetic diversity"", ""Species richness"", ""Ecosystem complexity""]",False,0.8484848484848484,0.7825663089752197,False,False
topic-12123,"Blanchot, Maurice (1907-2003)",literary philosopher,mas_langgraph,Philosophy,French Philosopher,"[""French Philosopher"", ""Phenomenologist"", ""Existentialist"", ""Poststructuralist Thinker""]",False,0.6842105263157895,0.7086275219917297,False,False
topic-1351,urban planning and building law,city planning regulations,mas_langgraph,Law,Urban governance,"[""Urban governance"", ""Building codes and ordinances"", ""Zoning regulations"", ""Municipal law enforcement"", ""Land use legislation""]",False,0.29268292682926833,0.6007499694824219,False,False
topic-1352,brabant,Brabant region,mas_langgraph,History,Duchy,"[""Duchy"", ""Province"", ""Region"", ""County""]",False,0.0,0.34861597418785095,False,False
topic-1402,Letter of James,Epistle of James,mas_langgraph,Biblical Studies,Epistle of James,"[""Epistle of James""]",True,1.0,1.0,True,True
topic-1356,law of civil procedure,civil litigation law,mas_langgraph,Law,Court procedure,"[""Court procedure"", ""Legal process"", ""Procedural guidelines"", ""Judicial code""]",False,0.17142857142857137,0.5489853024482727,False,False
topic-1357,civil law,non-criminal law,mas_langgraph,Law,Common law,"[""Common law"", ""Equitable law"", ""Statutory law"", ""Regulatory law""]",False,0.56,0.5536744594573975,False,False
topic-17103,Citizens Participation,public involvement,mas_langgraph,Sociology,Public Involvement,"[""Public Involvement"", ""Participatory Action"", ""Active Citizenship"", ""Engaged Community"", ""Community Engagement""]",True,1.0,1.0,True,True
topic-13521,citizenship,nationality,mas_langgraph,Politics/Social Science,Nationhood,"[""Constitutional status"", ""Nationhood"", ""Franchise""]",False,0.5714285714285714,0.4611721634864807,False,False
topic-9901,burnout,exhaustion,mas_langgraph,Psychology,Emotional exhaustion,"[""Emotional exhaustion"", ""Mental depletion"", ""Exhaustion syndrome"", ""Professional strain"", ""Work-related stress""]",False,0.6666666666666667,0.8272128701210022,False,False
topic-15463,Business Process Management,process optimization,mas_langgraph,Operations Research,Process Re-engineering,"[""Process Re-engineering"", ""Management of Operations"", ""Logistical Management"", ""Operational Excellence"", ""Continuous Improvement""]",False,0.5365853658536586,0.5467616319656372,False,False
topic-9783,business transactions,commercial dealings,mas_langgraph,Economics,Dealings in commerce,"[""Dealings in commerce"", ""Commercial dealings"", ""Financial exchanges"", ""Trade agreements"", ""Commercial negotiations""]",False,0.41025641025641024,0.7392566204071045,True,True
topic-2564,collective labour agreements,union contracts,mas_langgraph,Industrial Relations,Workplace agreements,"[""Workplace agreements"", ""Collective bargaining frameworks"", ""Employer-union accords"", ""Trade union contracts"", ""Union-negotiated pacts"", ""Industry-wide contracts""]",False,0.34285714285714286,0.633788526058197,False,False
topic-2570,central banks,monetary authority,mas_langgraph,Economics,Central monetary bodies,"[""Central monetary bodies"", ""Monetary authorities""]",False,0.5365853658536586,0.5667803883552551,False,False
topic-6302,China,People's Republic of China,mas_langgraph,Geography,Asian country,"[""Asian country"", ""East Asia""]",False,0.26315789473684215,0.6390199065208435,False,False
topic-12461,surgery,surgical procedure,mas_langgraph,Medicine,Operation,"[""Incision"", ""Procedure"", ""Amputation"", ""Operation""]",False,0.2222222222222222,0.48331764340400696,False,False
topic-11383,Christian creed,Christian statement of belief,mas_langgraph,Religion Studies,Sacred doctrine,"[""Sacred doctrine"", ""Theological affirmation"", ""Faith statement"", ""Belief system"", ""Core tenets"", ""Dogmatic declaration""]",False,0.31818181818181823,0.46877947449684143,False,False
topic-4242,christian philosophy,Christian worldview,mas_langgraph,Theology,Moral theology,"[""Moral theology"", ""Divine theology""]",False,0.303030303030303,0.5539612174034119,False,False
topic-2304,christian liturgy,Christian worship,mas_langgraph,Religion Studies,Liturgical ceremony,"[""Liturgical ceremony"", ""Worship service"", ""Sacred rite"", ""Sacramental ritual"", ""Eucharistic celebration"", ""Divine office""]",False,0.33333333333333337,0.4924496114253998,False,False
topic-16544,Christianity and Culture,Christian cultural studies,mas_langgraph,Religious Studies,Religion and Culture,"[""Religion and Culture"", ""Sacred Traditions"", ""Moral Heritage""]",False,0.5652173913043479,0.6325875520706177,False,False
topic-181,chronic heart failure,persistent heart failure,mas_langgraph,Medicine,Persistent heart failure,"[""Persistent heart failure"", ""Advanced decompensated heart failure"", ""Cardiac insufficiency""]",True,1.0,1.0,True,True
topic-17142,chronic diseases,long-term illnesses,mas_langgraph,Medicine,Permanent health problems,"[""Permanent health problems"", ""Persistent illnesses"", ""Long-term health conditions"", ""Protracted medical conditions""]",False,0.37209302325581395,0.5404037237167358,False,False
topic-2577,civil society,civic community,mas_langgraph,Sociology,Civic association,"[""Civic association"", ""Voluntary sector"", ""Community group"", ""Non-profit organization"", ""Public interest group""]",False,0.5625,0.7012742757797241,False,False
topic-2582,cognition,mental processes,mas_langgraph,Psychology,Perception,"[""Perception"", ""Awareness"", ""Reasoning"", ""Thought""]",False,0.3076923076923077,0.5001217126846313,False,False
