term,ground_truth,method,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
accountancy,financial auditing,llm_zero_shot,financial reporting,"[""financial reporting"", ""financial management"", ""financial accounting"", ""financial auditing"", ""financial systems""]",5,0.6346862316131592,False,False,True,0.0,0.430676558073393,0.25,4
auditors,financial examiners,llm_zero_shot,financial examiners,"[""financial examiners"", ""financial accounting"", ""oversight"", ""investigation"", ""financial auditing""]",5,0.6096625328063965,True,True,True,1.0,1.0,1.0,1
accounting,financial accounting,llm_zero_shot,financial management,"[""financial management"", ""financial reporting"", ""financial accounting"", ""financial systems"", ""financial auditing""]",5,0.5999557971954346,False,True,True,0.5,0.5,0.3333333333333333,3
acculturation,cultural adaptation,llm_zero_shot,cultural adaptation,"[""cultural adaptation"", ""social unity"", ""social categorization"", ""cultural diversity"", ""intercultural research""]",5,0.623044490814209,True,True,True,1.0,1.0,1.0,1
actual pastoral liturgical practice,current liturgical practice,llm_zero_shot,Catholic pastoral care,"[""Catholic pastoral care"", ""sociology of pastoral care"", ""liturgical theology"", ""Pastoral Counseling Psychology"", ""spiritual care theology""]",5,0.7225470542907715,False,False,False,0.0,0.0,0.0,-1
adhd,attention deficit disorder,llm_zero_shot,attention deficit disorder,"[""attention deficit disorder"", ""psychological disorders"", ""seizure disorder"", ""cognitive decline"", ""disease study""]",5,0.7177822589874268,True,True,True,1.0,1.0,1.0,1
administrative law,regulatory law,llm_zero_shot,regulatory law,"[""regulatory law"", ""local government law"", ""corporate law"", ""civil law"", ""business law""]",5,0.6419625282287598,True,True,True,1.0,1.0,1.0,1
adorno,critical theorist,llm_zero_shot,Marxist theory,"[""Marxist theory"", ""Marxism"", ""critical analysis"", ""critical theorist"", ""cultural philosophy""]",5,0.6442642211914062,False,False,True,0.0,0.430676558073393,0.25,4
africa,Sub-Saharan region,llm_zero_shot,Sub-Saharan region,"[""Sub-Saharan region"", ""East Europe"", ""ethnic groups"", ""South African legal system"", ""Arabian""]",5,0.5964615345001221,True,True,True,1.0,1.0,1.0,1
agricultural economy,agricultural economics,llm_zero_shot,agricultural economics,"[""agricultural economics"", ""economic development"", ""local economics"", ""industrial economics"", ""local economic growth""]",5,0.6565825939178467,True,True,True,1.0,1.0,1.0,1
aggression,hostility,llm_zero_shot,hostility,"[""hostility"", ""extremism"", ""senseless violence"", ""interpersonal psychology"", ""persuasion""]",5,0.6257035732269287,True,True,True,1.0,1.0,1.0,1
recommender system,recommendation engine,agent_tool_calling,recommendation engine,"[""recommendation engine"", ""collaborative networks"", ""collaborative systems"", ""collaborative information systems"", ""information retrieval system""]",5,1.2704508304595947,True,True,True,1.0,1.0,1.0,1
stocks,shares,agent_tool_calling,stock market,"[""stock market"", ""stock management"", ""stock control"", ""shares"", ""investing""]",5,1.338117599487305,False,False,True,0.0,0.430676558073393,0.25,4
equity market,stock market,agent_tool_calling,stock market,"[""stock market"", ""capital markets"", ""market analysis"", ""market strategy"", ""investing""]",5,1.637632131576538,True,True,True,1.0,1.0,1.0,1
liability law,responsibility law,agent_tool_calling,responsibility law,"[""responsibility law"", ""business law"", ""corporate law"", ""medical law"", ""penal law""]",5,1.1687216758728027,True,True,True,1.0,1.0,1.0,1
accountancy,financial auditing,agent_tool_calling,financial accounting,"[""financial accounting"", ""financial management"", ""financial auditing"", ""financial systems"", ""financial instruments""]",5,0.9741785526275636,False,True,True,0.5,0.5,0.3333333333333333,3
auditors,financial examiners,agent_tool_calling,financial examiners,"[""financial examiners"", ""financial auditing"", ""financial accounting"", ""financial instruments"", ""investigation""]",5,1.4045965671539309,True,True,True,1.0,1.0,1.0,1
accounting,financial accounting,agent_tool_calling,financial accounting,"[""financial accounting"", ""financial management"", ""financial auditing"", ""financial instruments"", ""global accounting standards""]",5,1.4163343906402588,True,True,True,1.0,1.0,1.0,1
acculturation,cultural adaptation,agent_tool_calling,cultural adaptation,"[""cultural adaptation"", ""consolidations"", ""destitution"", ""rebirth"", ""advancement""]",5,0.9524261951446532,True,True,True,1.0,1.0,1.0,1
actual pastoral liturgical practice,current liturgical practice,agent_tool_calling,liturgical theology,"[""liturgical theology"", ""current liturgical practice"", ""Catholic pastoral care"", ""sociology of pastoral care"", ""Pastoral Counseling Psychology""]",5,1.2916624546051023,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
adhd,attention deficit disorder,agent_tool_calling,attention deficit disorder,"[""attention deficit disorder"", ""psychological disorders"", ""seizure disorder"", ""learning disabilities"", ""baby mental health""]",5,1.06072735786438,True,True,True,1.0,1.0,1.0,1
administrative law,regulatory law,agent_tool_calling,EU administrative law,"[""EU administrative law"", ""administration"", ""business law"", ""administrative litigation"", ""administrative organisation""]",5,0.7705988883972168,False,False,False,0.0,0.0,0.0,-1
adorno,critical theorist,agent_tool_calling,Teutonic,"[""Teutonic"", ""Friedrich Heinrich Jacobi"", ""Jacob"", ""Marxism"", ""nationality""]",5,1.2919213771820068,False,False,False,0.0,0.0,0.0,-1
africa,Sub-Saharan region,agent_tool_calling,Sub-Saharan region,"[""Sub-Saharan region"", ""East Europe"", ""nationhood"", ""refugees"", ""developing countries""]",5,1.4031448364257812,True,True,True,1.0,1.0,1.0,1
agricultural economy,agricultural economics,agent_tool_calling,agricultural economics,"[""agricultural economics"", ""economic development"", ""industrial economics"", ""farming"", ""national economics""]",5,1.6896429061889648,True,True,True,1.0,1.0,1.0,1
aggression,hostility,agent_tool_calling,hostility,"[""hostility"", ""senseless violence"", ""self-control"", ""Cooperation"", ""interpersonal psychology""]",5,0.9330053329467772,True,True,True,1.0,1.0,1.0,1
recommender system,recommendation engine,hybrid_pipeline,recommendation engine,"[""recommendation engine"", ""information retrieval system"", ""collaborative networks"", ""information search"", ""collaborative systems""]",5,63.074209690094,True,True,True,1.0,1.0,1.0,1
stocks,shares,hybrid_pipeline,investing,"[""investing"", ""shares"", ""investment funds"", ""investment fund"", ""stock market""]",5,107.5585880279541,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
alcohol addiction,alcohol dependence,embedding_only,alcohol dependence,"[""alcohol dependence"", ""substance dependence"", ""substance abuse treatment"", ""compulsive gambling"", ""remorse""]",5,0.2946321964263916,True,True,True,1.0,1.0,1.0,1
general econometrics,economic statistics,embedding_only,practical econometrics,"[""practical econometrics"", ""individual econometrics"", ""economic statistics"", ""economic modeling"", ""individual economics""]",5,0.0119087696075439,False,True,True,0.5,0.5,0.3333333333333333,3
alliances and joint ventures,strategic partnerships,embedding_only,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""inter-firm relationships"", ""Cooperation"", ""strategic interaction theory""]",5,0.0052495002746582,True,True,True,1.0,1.0,1.0,1
foreigners,strangers,embedding_only,immigrants,"[""immigrants"", ""nationality"", ""Turkish immigrants"", ""refugees"", ""Americanisation""]",5,0.0105609893798828,False,False,False,0.0,0.0,0.0,-1
americanization,Americanisation,embedding_only,Americanisation,"[""Americanisation"", ""nationhood"", ""modernisation"", ""immigrants"", ""nationality""]",5,0.0112407207489013,True,True,True,1.0,1.0,1.0,1
anxiety,worry,embedding_only,psychological disorders,"[""psychological disorders"", ""emotional exhaustion"", ""melancholy"", ""stress control"", ""emotional well-being""]",5,0.0125904083251953,False,False,False,0.0,0.0,0.0,-1
"Antarctic, Arctic, Polar Regions",polar areas,embedding_only,polar areas,"[""polar areas"", ""East Europe"", ""regional administration"", ""Sub-Saharan region"", ""Regional language and society""]",5,0.002958059310913,True,True,True,1.0,1.0,1.0,1
"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,embedding_only,relationship between anthropology and religious philosophy,"[""relationship between anthropology and religious philosophy"", ""religious philosophy"", ""religious sociology"", ""religious psychology"", ""religious studies""]",5,0.010674238204956,True,True,True,1.0,1.0,1.0,1
arabic,Arabian,embedding_only,Arabian,"[""Arabian"", ""ancient Hebrew"", ""Hebrew Bible"", ""minority languages"", ""Tanakh""]",5,0.0029876232147216,True,True,True,1.0,1.0,1.0,1
labour and health,occupational health,embedding_only,occupational health,"[""occupational health"", ""labor unions"", ""childbirth"", ""work-related illnesses"", ""health economics""]",5,0.0108542442321777,True,True,True,1.0,1.0,1.0,1
industrial and organisational psychology,work psychology,embedding_only,industrial psychology,"[""industrial psychology"", ""occupational psychology"", ""work psychology"", ""organizational studies"", ""industrial economics""]",5,0.0067541599273681,False,True,True,0.5,0.5,0.3333333333333333,3
working hours,working time,embedding_only,working time,"[""working time"", ""work quality"", ""work psychology"", ""workweek reduction"", ""employment conditions""]",5,0.0091257095336914,True,True,True,1.0,1.0,1.0,1
labour economics,employment economics,embedding_only,employment economics,"[""employment economics"", ""industrial economics"", ""labor unions"", ""government economics"", ""national economics""]",5,0.0106153488159179,True,True,True,1.0,1.0,1.0,1
labour market,employment market,embedding_only,employment market,"[""employment market"", ""employment economics"", ""labor unions"", ""industrial economics"", ""digital labor""]",5,0.0027227401733398,True,True,True,1.0,1.0,1.0,1
labour market policy,employment policy,embedding_only,employment policy,"[""employment policy"", ""employment economics"", ""employment market"", ""labor unions"", ""policy analysis""]",5,0.0105609893798828,True,True,True,1.0,1.0,1.0,1
labour market issues,employment issues,embedding_only,employment issues,"[""employment issues"", ""employment market"", ""employment economics"", ""labor unions"", ""employment conditions""]",5,0.00313401222229,True,True,True,1.0,1.0,1.0,1
job motivation,work motivation,embedding_only,work motivation,"[""work motivation"", ""work psychology"", ""joblessness"", ""employment participation"", ""workplace loyalty""]",5,0.0105931758880615,True,True,True,1.0,1.0,1.0,1
working conditions,employment conditions,embedding_only,conditions,"[""conditions"", ""employment conditions"", ""economic condition"", ""employment issues"", ""working time""]",5,0.0030398368835449,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
work participation,employment participation,embedding_only,worker participation,"[""worker participation"", ""employment participation"", ""work motivation"", ""working time"", ""work psychology""]",5,0.0105743408203125,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour law,employment law,embedding_only,employment law,"[""employment law"", ""global employment law"", ""contract law"", ""labor unions"", ""business law""]",5,0.002953290939331,True,True,True,1.0,1.0,1.0,1
reduction of working hours,workweek reduction,embedding_only,workweek reduction,"[""workweek reduction"", ""working time"", ""quality of worklife"", ""worker participation"", ""work-life balance""]",5,0.010571002960205,True,True,True,1.0,1.0,1.0,1
industrial/labour relations,employment relations,embedding_only,employment relations,"[""employment relations"", ""industrial economics"", ""labor unions"", ""industrial psychology"", ""employment economics""]",5,0.0030398368835449,True,True,True,1.0,1.0,1.0,1
working conditions creation,quality of worklife,embedding_only,employment conditions,"[""employment conditions"", ""conditions"", ""economic condition"", ""employment policy"", ""employment law""]",5,0.0106194019317626,False,False,False,0.0,0.0,0.0,-1
labour issues,employment issues,embedding_only,employment issues,"[""employment issues"", ""labor unions"", ""worker participation"", ""employment conditions"", ""welfare politics""]",5,0.002880573272705,True,True,True,1.0,1.0,1.0,1
arbitration,dispute arbitration,embedding_only,dispute arbitration,"[""dispute arbitration"", ""disputes"", ""dispute resolution"", ""jurisprudence"", ""civil litigation law""]",5,0.0106029510498046,True,True,True,1.0,1.0,1.0,1
reasoning,logical argumentation,embedding_only,logical argumentation,"[""logical argumentation"", ""mental science"", ""logical fallacies"", ""cognitive psychology"", ""theory of knowledge""]",5,0.0030148029327392,True,True,True,1.0,1.0,1.0,1
aristoteles,Aristotle,embedding_only,Aristotle,"[""Aristotle"", ""Anatolian"", ""Castilian"", ""St. Augustine"", ""ecclesiastical Latin""]",5,0.0106551647186279,True,True,True,1.0,1.0,1.0,1
poverty,destitution,embedding_only,welfare,"[""welfare"", ""income disparity"", ""welfare system"", ""households"", ""family economics""]",5,0.0028717517852783,False,False,False,0.0,0.0,0.0,-1
asylum seekers,refugees,embedding_only,refugees,"[""refugees"", ""Asylum law"", ""immigrants"", ""immigration law"", ""Turkish immigrants""]",5,0.0106229782104492,True,True,True,1.0,1.0,1.0,1
asset liability management,balance sheet management,embedding_only,asset valuation,"[""asset valuation"", ""risk management"", ""financial management"", ""asset tax"", ""financial accounting""]",5,0.0045037269592285,False,False,False,0.0,0.0,0.0,-1
attitudes,mindset,embedding_only,persuasion,"[""persuasion"", ""mindset"", ""Social understanding"", ""cognitive psychology"", ""consumer psychology""]",5,0.0103785991668701,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
auditory perception,hearing perception,embedding_only,hearing perception,"[""hearing perception"", ""sight perception"", ""sensory awareness"", ""sound system study"", ""language cognition""]",5,0.0107426643371582,True,True,True,1.0,1.0,1.0,1
augustine,St. Augustine,embedding_only,St. Augustine,"[""St. Augustine"", ""Aristotle"", ""John the Apostle"", ""ecclesiastical Latin"", ""Christian history""]",5,0.0028588771820068,True,True,True,1.0,1.0,1.0,1
automatic language analysis,computational linguistics,embedding_only,text analysis,"[""text analysis"", ""language processing systems"", ""automated parsing"", ""computational linguistics"", ""linguistic morphology""]",5,0.0106170177459716,False,False,True,0.0,0.430676558073393,0.25,4
automation,mechanization,embedding_only,automated learning,"[""automated learning"", ""smart interfaces"", ""machine intelligence"", ""human-computer interaction"", ""computing systems""]",5,0.0050747394561767,False,False,False,0.0,0.0,0.0,-1
autonomy and moral,self-governance and ethics,embedding_only,moral philosophy,"[""moral philosophy"", ""self-governance and ethics"", ""social ethics"", ""moral culpability"", ""ethical management""]",5,0.010359764099121,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bank - firm relationships,financial partnerships,embedding_only,inter-firm relationships,"[""inter-firm relationships"", ""financial partnerships"", ""business finance"", ""financial systems"", ""financial structure""]",5,0.0108678340911865,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking law,financial law,embedding_only,financial law,"[""financial law"", ""bankruptcy law"", ""financial regulation"", ""business law"", ""economic law""]",5,0.0048353672027587,True,True,True,1.0,1.0,1.0,1
banking systems,financial systems,embedding_only,financial systems,"[""financial systems"", ""credit infrastructure"", ""financial instruments"", ""government finance"", ""business finance""]",5,0.0103890895843505,True,True,True,1.0,1.0,1.0,1
primary education,elementary education,embedding_only,elementary education,"[""elementary education"", ""schooling"", ""educational technology"", ""educational sociology"", ""native language education""]",5,0.0108776092529296,True,True,True,1.0,1.0,1.0,1
bayesian statistics,Bayesian inference,embedding_only,Bayesian inference,"[""Bayesian inference"", ""statistical mathematics"", ""statistical techniques"", ""economic statistics"", ""estimation""]",5,0.0126013755798339,True,True,True,1.0,1.0,1.0,1
corporate policy and strategy,business strategy,embedding_only,business strategy,"[""business strategy"", ""corporate management"", ""policy analysis"", ""market strategy"", ""strategic planning""]",5,0.0046653747558593,True,True,True,1.0,1.0,1.0,1
business communication and ethics,corporate communication ethics,embedding_only,corporate communication ethics,"[""corporate communication ethics"", ""corporate ethics"", ""professional ethics"", ""ethical marketing"", ""ethical management""]",5,0.0101940631866455,True,True,True,1.0,1.0,1.0,1
business modelling,business analytics,embedding_only,business simulations,"[""business simulations"", ""financial modeling"", ""economic modeling"", ""business creation"", ""business frameworks""]",5,0.0108051300048828,False,False,False,0.0,0.0,0.0,-1
business economics,managerial economics,embedding_only,economic science,"[""economic science"", ""managerial economics"", ""industrial economics"", ""financial economics"", ""individual economics""]",5,0.004866600036621,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
business ethics,corporate ethics,embedding_only,corporate ethics,"[""corporate ethics"", ""ethical management"", ""professional ethics"", ""ethical marketing"", ""corporate communication ethics""]",5,0.0103895664215087,True,True,True,1.0,1.0,1.0,1
business studies,business administration,embedding_only,organizational studies,"[""organizational studies"", ""businesses"", ""business finance"", ""business creation"", ""business administration""]",5,0.0105996131896972,False,False,True,0.0,0.3868528072345416,0.2,5
Firm relocation,business relocation,embedding_only,business relocation,"[""business relocation"", ""inter-firm relationships"", ""transformation economics"", ""corporate consolidation"", ""spatial economics""]",5,0.0027334690093994,True,True,True,1.0,1.0,1.0,1
companies,businesses,embedding_only,businesses,"[""businesses"", ""corporate management"", ""corporate law"", ""small businesses"", ""organizational structure""]",5,0.010596752166748,True,True,True,1.0,1.0,1.0,1
bounded rationality,limited rationality,embedding_only,limited rationality,"[""limited rationality"", ""radical critique"", ""Levinasian philosophy"", ""mathematical foundations"", ""analytical philosophy""]",5,0.004981517791748,True,True,True,1.0,1.0,1.0,1
information systems management,IT management,embedding_only,IT management,"[""IT management"", ""data management systems"", ""information technology"", ""data management"", ""collaborative information systems""]",5,0.0103294849395751,True,True,True,1.0,1.0,1.0,1
taxes,levies,embedding_only,income tax,"[""income tax"", ""company tax"", ""earnings tax"", ""global tax law"", ""value-added tax""]",5,0.0106081962585449,False,False,False,0.0,0.0,0.0,-1
tax law,fiscal law,embedding_only,global tax law,"[""global tax law"", ""fiscal law"", ""income tax"", ""company tax"", ""EU tax regulations""]",5,0.0031139850616455,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
investment,investing,embedding_only,investing,"[""investing"", ""investment theory"", ""investment fund"", ""investment funds"", ""investment evaluation""]",5,0.0107343196868896,True,True,True,1.0,1.0,1.0,1
investor behaviour,Investor psychology,embedding_only,Investor psychology,"[""Investor psychology"", ""investing"", ""investment theory"", ""buying behavior"", ""uncertain investments""]",5,0.0127294063568115,True,True,True,1.0,1.0,1.0,1
mutual fund,investment fund,embedding_only,investment fund,"[""investment fund"", ""investment funds"", ""investing"", ""financial policy"", ""investment theory""]",5,0.0050222873687744,True,True,True,1.0,1.0,1.0,1
policy evaluation,policy analysis,embedding_only,policy analysis,"[""policy analysis"", ""public policy"", ""ecological policy"", ""investment evaluation"", ""health policy""]",5,0.0103576183319091,True,True,True,1.0,1.0,1.0,1
mediation,conflict resolution,embedding_only,e-mediation,"[""e-mediation"", ""conflict resolution"", ""persuasion"", ""disputes"", ""interpersonal process""]",5,0.0106401443481445,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
assertive outreach,proactive engagement,embedding_only,advocacy,"[""advocacy"", ""Pastoral Counseling Psychology"", ""persuasion"", ""talk therapy"", ""youth ministry""]",5,0.0051124095916748,False,False,False,0.0,0.0,0.0,-1
berber language,Tamazight,embedding_only,Arabian,"[""Arabian"", ""minority languages"", ""ancient Hebrew"", ""classical language"", ""Regional language and society""]",5,0.0104401111602783,False,False,False,0.0,0.0,0.0,-1
occupational ethics,professional ethics,embedding_only,professional ethics,"[""professional ethics"", ""occupational psychology"", ""corporate ethics"", ""occupational health"", ""tech ethics""]",5,0.0107307434082031,True,True,True,1.0,1.0,1.0,1
Occupational ethics for ministers,ministerial ethics,embedding_only,ministerial ethics,"[""ministerial ethics"", ""professional ethics"", ""ethical management"", ""clerical ministry"", ""political-economic ethics""]",5,0.0065257549285888,True,True,True,1.0,1.0,1.0,1
occupational diseases,work-related illnesses,embedding_only,occupational health,"[""occupational health"", ""work-related illnesses"", ""occupational psychology"", ""disease study"", ""long-term illnesses""]",5,0.0093255043029785,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
protected species,endangered species,embedding_only,endangered species,"[""endangered species"", ""environmental protection law"", ""ecological criminal law"", ""ecological law"", ""natural diversity""]",5,0.0107853412628173,True,True,True,1.0,1.0,1.0,1
decision theory,decision analysis,embedding_only,decision analysis,"[""decision analysis"", ""decision process"", ""theory of knowledge"", ""decision aid systems"", ""cognitive psychology theory""]",5,0.0122187137603759,True,True,True,1.0,1.0,1.0,1
decision support systems,decision aid systems,embedding_only,decision aid systems,"[""decision aid systems"", ""decision process"", ""support services"", ""knowledge systems"", ""decision analysis""]",5,0.0050854682922363,True,True,True,1.0,1.0,1.0,1
decision making,decision process,embedding_only,decision process,"[""decision process"", ""decision analysis"", ""decision aid systems"", ""cognitive psychology"", ""mental science""]",5,0.0103719234466552,True,True,True,1.0,1.0,1.0,1
information management and technology,information systems management,embedding_only,information technology,"[""information technology"", ""information and communication technology"", ""information systems management"", ""IT management"", ""data management""]",5,0.010732889175415,False,True,True,0.5,0.5,0.3333333333333333,3
administrative reform,bureaucratic reform,embedding_only,bureaucratic reform,"[""bureaucratic reform"", ""administrative organisation"", ""administration"", ""reorganisation"", ""administrative litigation""]",5,0.0065004825592041,True,True,True,1.0,1.0,1.0,1
management of non-profit organisations,non-profit management,embedding_only,non-profit management,"[""non-profit management"", ""sociology of organizations"", ""adaptive organizations"", ""corporate management"", ""charitable organizations""]",5,0.0093472003936767,True,True,True,1.0,1.0,1.0,1
public administration,administrative organisation,embedding_only,public management,"[""public management"", ""administration"", ""administrative organisation"", ""business administration"", ""public policy""]",5,0.0117230415344238,False,True,True,0.5,0.5,0.3333333333333333,3
administrative procedural law,administrative litigation,embedding_only,criminal procedural law,"[""criminal procedural law"", ""administrative litigation"", ""EU administrative law"", ""administrative organisation"", ""legal procedure""]",5,0.0109906196594238,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
consciousness,awareness,embedding_only,unconscious state,"[""unconscious state"", ""awareness"", ""rebirth"", ""self-awareness"", ""mental philosophy""]",5,0.0124499797821044,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bible (studies),biblical studies,embedding_only,biblical studies,"[""biblical studies"", ""New Testament studies"", ""religious studies"", ""early Christian texts"", ""Hebrew Bible""]",5,0.0049364566802978,True,True,True,1.0,1.0,1.0,1
bible as literature,scriptural literature,embedding_only,theological literature,"[""theological literature"", ""Hebrew Bible"", ""Bible interpretation"", ""New Testament studies"", ""biblical studies""]",5,0.0102090835571289,False,False,False,0.0,0.0,0.0,-1
Bible and culture,scriptural influence on culture,embedding_only,Hebrew Bible,"[""Hebrew Bible"", ""Christian cultural studies"", ""Christian Scriptures"", ""biblical studies"", ""scriptural influence on culture""]",5,0.0106971263885498,False,False,True,0.0,0.3868528072345416,0.2,5
bible translations,scripture translations,embedding_only,scripture translations,"[""scripture translations"", ""Hebrew Bible"", ""Bible interpretation"", ""Christian Scriptures"", ""early Christian texts""]",5,0.0049848556518554,True,True,True,1.0,1.0,1.0,1
bible studies; exegesis,Bible interpretation,embedding_only,biblical studies,"[""biblical studies"", ""New Testament studies"", ""theological literature"", ""religious studies"", ""Christian Scriptures""]",5,0.0103683471679687,False,False,False,0.0,0.0,0.0,-1
bible studies; new testament,New Testament studies,embedding_only,New Testament studies,"[""New Testament studies"", ""biblical studies"", ""religious studies"", ""Christian Scriptures"", ""Hebrew Bible""]",5,0.0107717514038085,True,True,True,1.0,1.0,1.0,1
biodiversity,natural diversity,embedding_only,natural diversity,"[""natural diversity"", ""endangered species"", ""diversity"", ""ecological management"", ""ecological law""]",5,0.0126371383666992,True,True,True,1.0,1.0,1.0,1
"Blanchot, Maurice (1907-2003)",literary philosopher,embedding_only,Jacques Derrida,"[""Jacques Derrida"", ""Friedrich Heinrich Jacobi"", ""Jacob"", ""Teutonic"", ""unity""]",5,0.0047700405120849,False,False,False,0.0,0.0,0.0,-1
urban planning and building law,city planning regulations,embedding_only,city planning regulations,"[""city planning regulations"", ""city planning"", ""local government law"", ""Municipal governance"", ""city history""]",5,0.0102245807647705,True,True,True,1.0,1.0,1.0,1
brabant,Brabant region,embedding_only,Brabant region,"[""Brabant region"", ""Brabant heritage"", ""Dutch language"", ""Latvian Republic"", ""ICCt""]",5,0.0106549263000488,True,True,True,1.0,1.0,1.0,1
Letter of James,Epistle of James,embedding_only,Epistle of James,"[""Epistle of James"", ""Matthew, James, and Didache"", ""John the Apostle"", ""Jacob"", ""Matthew's Gospel""]",5,0.0048198699951171,True,True,True,1.0,1.0,1.0,1
law of civil procedure,civil litigation law,embedding_only,civil law,"[""civil law"", ""legal procedure"", ""civil litigation law"", ""Civil law methodology"", ""criminal procedural law""]",5,0.0101191997528076,False,True,True,0.5,0.5,0.3333333333333333,3
alcohol addiction,alcohol dependence,llm_zero_shot,alcohol dependence,"[""alcohol dependence"", ""substance dependence"", ""substance abuse treatment"", ""psychological disorders"", ""dependency""]",5,1.3170194625854492,True,True,True,1.0,1.0,1.0,1
