term,ground_truth,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
alliances and joint ventures,strategic partnerships,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""businesses"", ""Cooperation"", ""collaborative work""]",5,5.230875730514526,True,True,True,1.0,1.0,1.0,1
foreigners,strangers,immigrants,"[""immigrants"", ""strangers"", ""refugees"", ""nationality"", ""Turkish immigrants""]",5,5.529213190078735,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
americanization,Americanisation,Americanisation,"[""Americanisation"", ""global culture"", ""cultural adaptation"", ""global economics"", ""cultural economics""]",5,5.221699237823486,True,True,True,1.0,1.0,1.0,1
anxiety,worry,worry,"[""worry"", ""stress management"", ""stress control"", ""psychological disorders"", ""tension""]",5,5.511752128601074,True,True,True,1.0,1.0,1.0,1
"Antarctic, Arctic, Polar Regions",polar areas,polar areas,"[""polar areas"", ""East Europe"", ""eurozone"", ""Sub-Saharan region"", ""head cooling""]",5,5.238420009613037,True,True,True,1.0,1.0,1.0,1
"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,relationship between anthropology and religious philosophy,"[""relationship between anthropology and religious philosophy"", ""religious philosophy"", ""religious sociology"", ""religious studies"", ""religious psychology""]",5,5.807981014251709,True,True,True,1.0,1.0,1.0,1
arabic,Arabian,Arabian,"[""Arabian"", ""Islamic studies"", ""ancient Hebrew"", ""Hebrew Bible"", ""Tanakh""]",5,5.17840051651001,True,True,True,1.0,1.0,1.0,1
labour and health,occupational health,occupational health,"[""occupational health"", ""work-related illnesses"", ""health psychology"", ""health policy"", ""quality of worklife""]",5,5.349713325500488,True,True,True,1.0,1.0,1.0,1
industrial and organisational psychology,work psychology,occupational psychology,"[""occupational psychology"", ""industrial psychology"", ""work psychology"", ""cognitive psychology"", ""personnel management""]",5,5.599052906036377,False,True,True,0.5,0.5,0.3333333333333333,3
working hours,working time,working time,"[""working time"", ""workweek reduction"", ""employment conditions"", ""free time"", ""work quality""]",5,5.264724016189575,True,True,True,1.0,1.0,1.0,1
labour economics,employment economics,employment economics,"[""employment economics"", ""employment market"", ""labor unions"", ""employment policy"", ""industrial economics""]",5,5.420759201049805,True,True,True,1.0,1.0,1.0,1
labour market,employment market,employment market,"[""employment market"", ""employment economics"", ""labor unions"", ""employment policy"", ""employment relations""]",5,5.247156143188477,True,True,True,1.0,1.0,1.0,1
labour market policy,employment policy,employment policy,"[""employment policy"", ""employment economics"", ""economic development"", ""employment market"", ""employment conditions""]",5,5.533202409744263,True,True,True,1.0,1.0,1.0,1
labour market issues,employment issues,employment issues,"[""employment issues"", ""employment conditions"", ""employment market"", ""employment economics"", ""employment policy""]",5,5.174392938613892,True,True,True,1.0,1.0,1.0,1
job motivation,work motivation,work motivation,"[""work motivation"", ""occupational psychology"", ""work psychology"", ""employment participation"", ""employment economics""]",5,5.273074626922607,True,True,True,1.0,1.0,1.0,1
working conditions,employment conditions,occupational health,"[""occupational health"", ""work psychology"", ""occupational psychology"", ""employment conditions"", ""conditions""]",5,5.098289728164673,False,False,True,0.0,0.43067655807339306,0.25,4
work participation,employment participation,worker participation,"[""worker participation"", ""employment participation"", ""employment market"", ""employment economics"", ""labor unions""]",5,5.4708757400512695,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour law,employment law,employment law,"[""employment law"", ""employment policy"", ""employment conditions"", ""employment issues"", ""global employment law""]",5,5.233734607696533,True,True,True,1.0,1.0,1.0,1
reduction of working hours,workweek reduction,workweek reduction,"[""workweek reduction"", ""working time"", ""short-term employment"", ""work-life balance"", ""process optimization""]",5,5.509305953979492,True,True,True,1.0,1.0,1.0,1
industrial/labour relations,employment relations,employment relations,"[""employment relations"", ""employment economics"", ""industrial economics"", ""labor unions"", ""industrial psychology""]",5,5.519494295120239,True,True,True,1.0,1.0,1.0,1
working conditions creation,quality of worklife,occupational health,"[""occupational health"", ""welfare"", ""regulatory law"", ""personnel management"", ""occupational psychology""]",5,5.781217336654663,False,False,False,0.0,0.0,0.0,-1
labour issues,employment issues,employment issues,"[""employment issues"", ""employment conditions"", ""employment relations"", ""labor unions"", ""employment policy""]",5,5.100785493850708,True,True,True,1.0,1.0,1.0,1
arbitration,dispute arbitration,dispute resolution,"[""dispute resolution"", ""negotiation"", ""disputes"", ""dispute arbitration"", ""e-mediation""]",5,5.0940375328063965,False,False,True,0.0,0.43067655807339306,0.25,4
reasoning,logical argumentation,logical argumentation,"[""logical argumentation"", ""Bayesian inference"", ""logical fallacies"", ""critical theorist"", ""mindset""]",5,5.281314134597778,True,True,True,1.0,1.0,1.0,1
aristoteles,Aristotle,Aristotle,"[""Aristotle"", ""scientific philosophy"", ""mental philosophy"", ""religious philosophy"", ""Scholastic philosopher""]",5,5.2910614013671875,True,True,True,1.0,1.0,1.0,1
poverty,destitution,welfare,"[""welfare"", ""welfare system"", ""welfare payments"", ""welfare politics"", ""welfare principles""]",5,6.035750865936279,False,False,False,0.0,0.0,0.0,-1
asylum seekers,refugees,refugees,"[""refugees"", ""Asylum law"", ""immigrants"", ""immigration law"", ""Turkish immigrants""]",5,5.686146974563599,True,True,True,1.0,1.0,1.0,1
asset liability management,balance sheet management,risk management,"[""risk management"", ""financial management"", ""stock management"", ""financial accounting"", ""risk assessment models""]",5,6.017475843429565,False,False,False,0.0,0.0,0.0,-1
attitudes,mindset,disposition,"[""disposition"", ""persuasion"", ""mindset"", ""reasoning"", ""Social understanding""]",5,5.471037149429321,False,True,True,0.5,0.5,0.3333333333333333,3
auditory perception,hearing perception,hearing perception,"[""hearing perception"", ""sound system study"", ""sight perception"", ""voice technology"", ""sensory awareness""]",5,5.31498646736145,True,True,True,1.0,1.0,1.0,1
augustine,St. Augustine,St. Augustine,"[""St. Augustine"", ""early theologians"", ""applied theology"", ""ecclesiastical Latin"", ""Aristotle""]",5,5.520375967025757,True,True,True,1.0,1.0,1.0,1
automatic language analysis,computational linguistics,text analysis,"[""text analysis"", ""language learning"", ""language processing systems"", ""language science"", ""automated parsing""]",5,5.516886472702026,False,False,False,0.0,0.0,0.0,-1
automation,mechanization,machine intelligence,"[""machine intelligence"", ""automated learning"", ""autonomous learning"", ""computing systems"", ""artificial neural networks""]",5,5.87717604637146,False,False,False,0.0,0.0,0.0,-1
autonomy and moral,self-governance and ethics,self-governance and ethics,"[""self-governance and ethics"", ""self-governance"", ""social ethics"", ""professional ethics"", ""corporate ethics""]",5,5.779966115951538,True,True,True,1.0,1.0,1.0,1
bank - firm relationships,financial partnerships,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""inter-firm relationships"", ""businesses"", ""interconnected industries""]",5,5.526078701019287,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking law,financial law,financial regulation,"[""financial regulation"", ""financial law"", ""regulatory law"", ""financial policy"", ""commercial policy""]",5,5.482123136520386,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
banking systems,financial systems,financial systems,"[""financial systems"", ""credit infrastructure"", ""financial economics"", ""financial structure"", ""financial management""]",5,5.431588888168335,True,True,True,1.0,1.0,1.0,1
primary education,elementary education,elementary education,"[""elementary education"", ""schooling"", ""human development"", ""educational technology"", ""skill development""]",5,5.370752334594727,True,True,True,1.0,1.0,1.0,1
bayesian statistics,Bayesian inference,Bayesian inference,"[""Bayesian inference"", ""statistical mathematics"", ""computational models"", ""statistical techniques"", ""information modeling""]",5,6.073828458786011,True,True,True,1.0,1.0,1.0,1
corporate policy and strategy,business strategy,business strategy,"[""business strategy"", ""strategic planning"", ""marketing strategy"", ""business creation"", ""market strategy""]",5,5.8781187534332275,True,True,True,1.0,1.0,1.0,1
business communication and ethics,corporate communication ethics,corporate communication ethics,"[""corporate communication ethics"", ""professional ethics"", ""corporate ethics"", ""commercial dealings"", ""ethical marketing""]",5,5.826780319213867,True,True,True,1.0,1.0,1.0,1
business modelling,business analytics,business strategy,"[""business strategy"", ""market analysis"", ""marketing strategy"", ""strategic planning"", ""market strategy""]",5,6.356900215148926,False,False,False,0.0,0.0,0.0,-1
business economics,managerial economics,economic theory,"[""economic theory"", ""economic science"", ""industrial economics"", ""financial economics"", ""government economics""]",5,5.357163429260254,False,False,False,0.0,0.0,0.0,-1
business ethics,corporate ethics,corporate ethics,"[""corporate ethics"", ""ethical management"", ""ethical marketing"", ""corporate communication ethics"", ""corporate conscience""]",5,5.272820234298706,True,True,True,1.0,1.0,1.0,1
business studies,business administration,organizational studies,"[""organizational studies"", ""economic science"", ""market analysis"", ""businesses"", ""corporate management""]",5,5.2312331199646,False,False,False,0.0,0.0,0.0,-1
Firm relocation,business relocation,business relocation,"[""business relocation"", ""organizational transformation"", ""corporate consolidation"", ""organizational growth"", ""organizational structure""]",5,5.153795957565308,True,True,True,1.0,1.0,1.0,1
companies,businesses,businesses,"[""businesses"", ""small businesses"", ""corporate management"", ""organizational structure"", ""corporate law""]",5,5.232989072799683,True,True,True,1.0,1.0,1.0,1
bounded rationality,limited rationality,limited rationality,"[""limited rationality"", ""mental philosophy"", ""Levinasian philosophy"", ""decision analysis"", ""radical critique""]",5,5.264846563339233,True,True,True,1.0,1.0,1.0,1
information systems management,IT management,data management,"[""data management"", ""IT management"", ""data management systems"", ""information technology"", ""IT administration""]",5,5.2122063636779785,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
taxes,levies,levies,"[""levies"", ""assessment"", ""fiscal management"", ""fiscal law"", ""income tax""]",5,5.387315034866333,True,True,True,1.0,1.0,1.0,1
tax law,fiscal law,fiscal law,"[""fiscal law"", ""global tax law"", ""income tax"", ""fiscal management"", ""EU tax regulations""]",5,5.146400451660156,True,True,True,1.0,1.0,1.0,1
investment,investing,investing,"[""investing"", ""funding"", ""financial economics"", ""financial policy"", ""investment fund""]",5,5.3263959884643555,True,True,True,1.0,1.0,1.0,1
investor behaviour,Investor psychology,Investor psychology,"[""Investor psychology"", ""investment theory"", ""risk management"", ""investing"", ""investment evaluation""]",5,5.193576097488403,True,True,True,1.0,1.0,1.0,1
mutual fund,investment fund,investment fund,"[""investment fund"", ""investment funds"", ""investing"", ""investment theory"", ""uncertain investments""]",5,5.14335560798645,True,True,True,1.0,1.0,1.0,1
policy evaluation,policy analysis,assessment,"[""assessment"", ""study methods"", ""data analysis"", ""study plan"", ""financial evaluation""]",5,5.3321373462677,False,False,False,0.0,0.0,0.0,-1
mediation,conflict resolution,dispute resolution,"[""dispute resolution"", ""negotiation"", ""disputes"", ""dispute arbitration"", ""conflict resolution""]",5,5.400712490081787,False,False,True,0.0,0.38685280723454163,0.2,5
assertive outreach,proactive engagement,proactive engagement,"[""proactive engagement"", ""aggression"", ""business strategy"", ""communication channels"", ""market strategy""]",5,5.221298694610596,True,True,True,1.0,1.0,1.0,1
berber language,Tamazight,Tamazight,"[""Tamazight"", ""Arabian"", ""minority languages"", ""classical language"", ""Regional language and society""]",5,5.181495666503906,True,True,True,1.0,1.0,1.0,1
occupational ethics,professional ethics,professional ethics,"[""professional ethics"", ""corporate ethics"", ""ethical management"", ""social ethics"", ""occupational psychology""]",5,5.201040506362915,True,True,True,1.0,1.0,1.0,1
Occupational ethics for ministers,ministerial ethics,ministerial ethics,"[""ministerial ethics"", ""Clergy"", ""ecclesiastical authority"", ""Ecclesiastical leadership"", ""sociology of pastoral care""]",5,5.562706232070923,True,True,True,1.0,1.0,1.0,1
occupational diseases,work-related illnesses,work-related illnesses,"[""work-related illnesses"", ""occupational health"", ""employment conditions"", ""employment issues"", ""work psychology""]",5,5.254793167114258,True,True,True,1.0,1.0,1.0,1
protected species,endangered species,endangered species,"[""endangered species"", ""ecological criminal law"", ""natural diversity"", ""ecological law"", ""ecological management""]",5,5.356343746185303,True,True,True,1.0,1.0,1.0,1
decision theory,decision analysis,cognitive psychology theory,"[""cognitive psychology theory"", ""decision analysis"", ""economic theory"", ""practical econometrics"", ""decision process""]",5,5.591362953186035,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
decision support systems,decision aid systems,knowledge systems,"[""knowledge systems"", ""decision aid systems"", ""strategic planning"", ""decision process"", ""computing systems""]",5,5.631392478942871,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
decision making,decision process,strategic planning,"[""strategic planning"", ""governance"", ""decision process"", ""governance crisis"", ""policy analysis""]",5,5.226587295532227,False,True,True,0.5,0.5,0.3333333333333333,3
information management and technology,information systems management,information systems management,"[""information systems management"", ""IT management"", ""information technology"", ""information and communication technology"", ""data management systems""]",5,5.176884889602661,True,True,True,1.0,1.0,1.0,1
administrative reform,bureaucratic reform,bureaucratic reform,"[""bureaucratic reform"", ""reorganisation"", ""public policy"", ""policy analysis"", ""administrative organisation""]",5,5.342285871505737,True,True,True,1.0,1.0,1.0,1
management of non-profit organisations,non-profit management,non-profit management,"[""non-profit management"", ""charitable organizations"", ""charitable sector"", ""public management"", ""governance""]",5,5.258639812469482,True,True,True,1.0,1.0,1.0,1
public administration,administrative organisation,administration,"[""administration"", ""public management"", ""administrative organisation"", ""governance"", ""government studies""]",5,5.143956661224365,False,True,True,0.5,0.5,0.3333333333333333,3
administrative procedural law,administrative litigation,regulatory law,"[""regulatory law"", ""criminal procedural law"", ""regulatory economics"", ""administrative litigation"", ""financial regulation""]",5,5.2877960205078125,False,False,True,0.0,0.43067655807339306,0.25,4
consciousness,awareness,awareness,"[""awareness"", ""self-awareness"", ""cognitive psychology"", ""sensory awareness"", ""self-concept""]",5,5.428428649902344,True,True,True,1.0,1.0,1.0,1
bible (studies),biblical studies,biblical studies,"[""biblical studies"", ""New Testament studies"", ""Bible interpretation"", ""Christian Scriptures"", ""religious studies""]",5,5.242295980453491,True,True,True,1.0,1.0,1.0,1
bible as literature,scriptural literature,biblical studies,"[""biblical studies"", ""Hebrew Bible"", ""New Testament studies"", ""theological literature"", ""Christian Scriptures""]",5,5.393565654754639,False,False,False,0.0,0.0,0.0,-1
Bible and culture,scriptural influence on culture,Christian cultural studies,"[""Christian cultural studies"", ""religious tradition"", ""religious sociology"", ""cross-cultural theology"", ""religious philosophy""]",5,5.457923889160156,False,False,False,0.0,0.0,0.0,-1
bible translations,scripture translations,scripture translations,"[""scripture translations"", ""Christian Scriptures"", ""early Christian texts"", ""theological literature"", ""Hebrew Bible""]",5,5.224957466125488,True,True,True,1.0,1.0,1.0,1
bible studies; exegesis,Bible interpretation,New Testament studies,"[""New Testament studies"", ""Bible interpretation"", ""biblical studies"", ""theological literature"", ""religious studies""]",5,5.50578498840332,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bible studies; new testament,New Testament studies,biblical studies,"[""biblical studies"", ""New Testament studies"", ""Christian Scriptures"", ""Bible interpretation"", ""religious studies""]",5,5.329223871231079,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
biodiversity,natural diversity,natural diversity,"[""natural diversity"", ""diversity"", ""cultural diversity"", ""ecological management"", ""diverse society""]",5,5.1485559940338135,True,True,True,1.0,1.0,1.0,1
"Blanchot, Maurice (1907-2003)",literary philosopher,existential philosopher,"[""existential philosopher"", ""linguistic philosophy"", ""literary philosopher"", ""literary analysis"", ""language psychology""]",5,5.446649074554443,False,True,True,0.5,0.5,0.3333333333333333,3
urban planning and building law,city planning regulations,city planning regulations,"[""city planning regulations"", ""city planning"", ""local government law"", ""Municipal governance"", ""environmental protection law""]",5,5.5631325244903564,True,True,True,1.0,1.0,1.0,1
brabant,Brabant region,Brabant region,"[""Brabant region"", ""Brabant heritage"", ""eurozone"", ""East Europe"", ""developing countries""]",5,4.941664457321167,True,True,True,1.0,1.0,1.0,1
Letter of James,Epistle of James,Epistle of James,"[""Epistle of James"", ""Matthew, James, and Didache"", ""John the Apostle"", ""Matthew's Gospel"", ""Jacob""]",5,5.367084503173828,True,True,True,1.0,1.0,1.0,1
law of civil procedure,civil litigation law,civil law,"[""civil law"", ""legal procedure"", ""civil litigation law"", ""criminal procedural law"", ""jurisprudence""]",5,5.295028924942017,False,True,True,0.5,0.5,0.3333333333333333,3
