topic,term,ground_truth,method,prediction,candidates,num_final_candidates,time_seconds,exact_top1,exact_any,recall_at_3,recall_at_5,precision_at_5,mrr,fuzzy_similarity,semantic_similarity,top_3_accuracy,top_5_accuracy
topic-3721,liability law,responsibility law,hybrid_fusion,Product Liability Law,"[""Product Liability Law"", ""Consequential Liability"", ""Fault-Based Liability"", ""product liability"", ""Negligence Law""]",5,2.97803282737732,False,False,False,False,0.0,0.0,0.6666666666666667,0.6681857109069824,False,False
topic-3721,liability law,responsibility law,mas_base,liability,"[""liability"", ""liability insurance"", ""Civil Liability"", ""limited liability"", ""tax liability""]",5,0.9427905082702636,False,False,False,False,0.0,0.0,0.5185185185185186,0.6265771389007568,False,False
topic-3721,liability law,responsibility law,mas_llm_ranker,liability insurance,"[""liability insurance"", ""limited liability"", ""tax liability"", ""Negligence Law"", ""Civil Liability""]",5,3.0618162155151367,False,False,False,False,0.0,0.0,0.4864864864864865,0.6681857705116272,False,False
topic-3721,liability law,responsibility law,mas_safe_hybrid,liability insurance,"[""liability insurance"", ""liability"", ""limited liability"", ""Civil Liability"", ""Negligence Law""]",5,3.042567014694214,False,False,False,False,0.0,0.0,0.5185185185185186,0.6681857705116272,False,False
topic-1274,accountancy,financial auditing,same_term,accountancy,"[""accountancy""]",1,3.576278686523437e-06,False,False,False,False,0.0,0.0,0.3448275862068966,0.5266649723052979,False,False
topic-1274,accountancy,financial auditing,wordnet_direct,accounting,"[""accounting""]",1,7.43865966796875e-05,False,False,False,False,0.0,0.0,0.5,0.6410108804702759,False,False
topic-1274,accountancy,financial auditing,embedding_wordnet,accounting,"[""accounting"", ""accounting data"", ""account statement"", ""account book"", ""accounting system""]",5,0.0155215263366699,False,False,False,False,0.0,0.0,0.5,0.6410109996795654,False,False
topic-1274,accountancy,financial auditing,llm_zero_shot,Accounting,"[""Accounting"", ""Auditing"", ""Financial Management"", ""Bookkeeping"", ""Financial Reporting""]",5,0.5983414649963379,False,False,False,False,0.0,0.0,0.7567567567567568,0.849439799785614,False,False
topic-1274,accountancy,financial auditing,llm_expansion,bookkeeping,"[""bookkeeping"", ""audit"", ""financial organisation"", ""accounting standard"", ""financial management service""]",5,0.8350377082824707,False,False,False,False,0.0,0.0,0.75,0.8284878730773926,False,False
topic-1274,accountancy,financial auditing,llm_rerank,Accounting,"[""Accounting"", ""Financial Management"", ""Bookkeeping"", ""Ledger Management"", ""Financial Analysis""]",5,0.9114158153533936,False,False,False,False,0.0,0.0,0.6842105263157895,0.6615417003631592,False,False
topic-1274,accountancy,financial auditing,hybrid_fusion,Accounting,"[""Accounting"", ""Financial Management"", ""Bookkeeping"", ""Financial Control"", ""Financial Analysis""]",5,2.708363771438598,False,False,False,False,0.0,0.0,0.6842105263157895,0.6615417003631592,False,False
topic-1274,accountancy,financial auditing,mas_base,Accounting,"[""Accounting"", ""account statement"", ""accounting system"", ""accounting data"", ""account book""]",5,0.8696408271789551,False,False,False,False,0.0,0.0,0.5,0.6410109996795654,False,False
topic-1274,accountancy,financial auditing,mas_llm_ranker,accounting,"[""accounting"", ""Bookkeeping"", ""accounting principle"", ""accounting entry"", ""accounting system""]",5,3.600174903869629,False,False,False,False,0.0,0.0,0.5,0.6410109996795654,False,False
topic-1274,accountancy,financial auditing,mas_safe_hybrid,accounting,"[""accounting"", ""accounting system"", ""account book"", ""account statement"", ""accounting data""]",5,3.5225462913513184,False,False,False,False,0.0,0.0,0.5,0.6410109996795654,False,False
topic-5882,auditors,financial examiners,same_term,auditors,"[""auditors""]",1,1.430511474609375e-06,False,False,False,False,0.0,0.0,0.2962962962962963,0.6801270842552185,False,False
topic-5882,auditors,financial examiners,wordnet_direct,hearer,"[""hearer"", ""listener"", ""auditor"", ""attender""]",4,0.0001165866851806,False,False,False,False,0.0,0.0,0.3703703703703704,0.6643438339233398,False,False
topic-5882,auditors,financial examiners,embedding_wordnet,auditor,"[""auditor"", ""internal auditor"", ""audit"", ""financial audit"", ""auditive""]",5,0.0159573554992675,False,False,False,False,0.0,0.0,0.7058823529411764,0.7395487427711487,False,False
topic-5882,auditors,financial examiners,llm_zero_shot,Inspectors,"[""Inspectors"", ""Examiners"", ""Reviewers"", ""Evaluators"", ""Accountants""]",5,0.6203491687774658,False,False,False,False,0.0,0.0,0.6428571428571428,0.7280333638191223,False,False
topic-5882,auditors,financial examiners,llm_expansion,accountant,"[""accountant"", ""examiner"", ""evaluator"", ""accountantship"", ""reviewer""]",5,0.851642370223999,False,False,False,False,0.0,0.0,0.5925925925925926,0.7003602981567383,False,False
topic-5882,auditors,financial examiners,llm_rerank,Examiners,"[""Examiners"", ""Inspectors"", ""Reviewers"", ""Financial analysts"", ""Accountability specialists""]",5,0.9536898136138916,False,False,False,False,0.0,0.0,0.7027027027027026,0.7280333638191223,False,False
topic-5882,auditors,financial examiners,hybrid_fusion,Auditing specialists,"[""Auditing specialists"", ""Examiners"", ""Inspectors"", ""Financial Reviewers"", ""Reviewers""]",5,2.691289186477661,False,False,False,False,0.0,0.0,0.7894736842105263,0.7280333638191223,False,False
topic-5882,auditors,financial examiners,mas_base,auditor,"[""auditor"", ""audit"", ""internal auditor"", ""auditive"", ""audit programme""]",5,0.9107224941253662,False,False,False,False,0.0,0.0,0.5142857142857142,0.6643438339233398,False,False
topic-5882,auditors,financial examiners,mas_llm_ranker,accountant,"[""accountant"", ""examiner"", ""audit programme"", ""internal auditor"", ""bank examiner""]",5,3.7066826820373535,False,False,False,False,0.0,0.0,0.6875,0.8237485885620117,False,False
topic-5882,auditors,financial examiners,mas_safe_hybrid,auditor,"[""auditor"", ""internal auditor"", ""audit"", ""accountant"", ""financial audit""]",5,3.86484169960022,False,False,False,False,0.0,0.0,0.7058823529411764,0.7395487427711487,False,False
topic-1276,accounting,financial accounting,same_term,accounting,"[""accounting""]",1,1.9073486328125e-06,False,False,False,False,0.0,0.0,0.6666666666666667,0.8892039656639099,False,False
topic-1276,accounting,financial accounting,wordnet_direct,accountancy,"[""accountancy"", ""accounting system"", ""method of accounting"", ""account"", ""account statement"", ""calculate"", ""report"", ""describe"", ""answer for""]",9,0.0002334117889404,False,False,False,False,0.0,0.0,0.6,0.7933703064918518,False,False
topic-1276,accounting,financial accounting,embedding_wordnet,accounting system,"[""accounting system"", ""accountant"", ""method of accounting"", ""accounting firm"", ""accounting entry""]",5,0.0182526111602783,False,False,False,False,0.0,0.0,0.6,0.7933703660964966,False,False
topic-1276,accounting,financial accounting,llm_zero_shot,Bookkeeping,"[""Bookkeeping"", ""Financial Management"", ""Auditing"", ""Accountancy"", ""Financial Reporting""]",5,0.5982122421264648,False,False,False,False,0.0,0.0,0.7692307692307692,0.7837228775024414,False,False
topic-1276,accounting,financial accounting,llm_expansion,bookkeeping,"[""bookkeeping"", ""audit"", ""financial management service"", ""financial organisation"", ""financial audit""]",5,0.8475034236907959,False,False,False,False,0.0,0.0,0.7428571428571429,0.7687282562255859,False,False
topic-1276,accounting,financial accounting,llm_rerank,Accountancy,"[""Accountancy"", ""Financial Management"", ""Financial Reporting"", ""Financial Analysis"", ""Bookkeeping""]",5,0.9288222789764404,False,False,False,False,0.0,0.0,0.7692307692307692,0.7837228775024414,False,False
topic-1276,accounting,financial accounting,hybrid_fusion,accountancy,"[""accountancy"", ""accounting and finance"", ""accounting practice"", ""financial management"", ""financial reporting""]",5,2.7313125133514404,False,False,False,False,0.0,0.0,0.7692307692307692,0.8948498964309692,False,False
topic-1276,accounting,financial accounting,mas_base,accounting system,"[""accounting system"", ""accountant"", ""accounting firm"", ""accounting entry"", ""accounting data""]",5,0.8870270252227783,False,False,False,False,0.0,0.0,0.5714285714285714,0.7933703660964966,False,False
topic-1276,accounting,financial accounting,mas_llm_ranker,accountant,"[""accountant"", ""method of accounting"", ""accounting entry"", ""accounting data"", ""accountancy""]",5,3.1448686122894287,False,False,False,False,0.0,0.0,0.6,0.779242217540741,False,False
topic-1276,accounting,financial accounting,mas_safe_hybrid,accountant,"[""accountant"", ""accounting system"", ""accounting entry"", ""accounting data"", ""method of accounting""]",5,3.1114890575408936,False,False,False,False,0.0,0.0,0.6,0.7933703660964966,False,False
topic-1953,acculturation,cultural adaptation,same_term,acculturation,"[""acculturation""]",1,1.6689300537109375e-06,False,False,False,False,0.0,0.0,0.6875,0.392371118068695,False,False
topic-1953,acculturation,cultural adaptation,wordnet_direct,socialization,"[""socialization"", ""socialisation"", ""enculturation"", ""culture"", ""assimilation""]",5,0.0001213550567626,False,False,False,False,0.0,0.0,0.6875,0.6713874936103821,False,False
topic-1953,acculturation,cultural adaptation,embedding_wordnet,acculturational,"[""acculturational"", ""acculturate"", ""acculturative"", ""enculturation"", ""instauration""]",5,0.0158219337463378,False,False,False,False,0.0,0.0,0.6875,0.3951218724250793,False,False
topic-1953,acculturation,cultural adaptation,llm_zero_shot,Assimilation,"[""Assimilation"", ""Cultural Integration"", ""Socialization"", ""Accommodation"", ""Adaptation""]",5,0.636310338973999,False,False,False,False,0.0,0.0,0.7692307692307692,0.7390458583831787,False,False
topic-1953,acculturation,cultural adaptation,llm_expansion,assimilation,"[""assimilation"", ""socialization"", ""adoption"", ""incorporation"", ""integration""]",5,0.842414379119873,False,False,False,False,0.0,0.0,0.5185185185185186,0.5315747857093811,False,False
topic-1953,acculturation,cultural adaptation,llm_rerank,inculturation,"[""inculturation"", ""assimilation"", ""acculturative process"", ""ethnic assimilation"", ""socialization""]",5,0.9971516132354736,False,False,False,False,0.0,0.0,0.6875,0.5577096939086914,False,False
topic-1953,acculturation,cultural adaptation,hybrid_fusion,accidental acculturation,"[""accidental acculturation"", ""inculturation"", ""assimilation"", ""acculturative process"", ""ethnic assimilation""]",5,2.895878553390503,False,False,False,False,0.0,0.0,0.6875,0.5577096939086914,False,False
topic-1953,acculturation,cultural adaptation,mas_base,acculturational,"[""acculturational"", ""inculturation"", ""acculturate"", ""acculturative"", ""enculturation""]",5,0.9832274913787842,False,False,False,False,0.0,0.0,0.6875,0.3955171108245849,False,False
topic-1953,acculturation,cultural adaptation,mas_llm_ranker,assimilation,"[""assimilation"", ""socialization"", ""inculturation"", ""cultural integration"", ""acculturational""]",5,2.3813958168029785,False,False,False,False,0.0,0.0,0.7692307692307692,0.6916220188140869,False,False
topic-1953,acculturation,cultural adaptation,mas_safe_hybrid,acculturational,"[""acculturational"", ""inculturation"", ""acculturate"", ""assimilation"", ""enculturation""]",5,4.196086168289185,False,False,False,False,0.0,0.0,0.6875,0.5315748453140259,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,same_term,actual pastoral liturgical practice,"[""actual pastoral liturgical practice""]",1,1.6689300537109375e-06,False,False,False,False,0.0,0.0,0.7419354838709676,0.8342791795730591,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,wordnet_direct,,[],0,2.86102294921875e-05,False,False,False,False,0.0,0.0,0.0,0.1533507257699966,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,embedding_wordnet,liturgical,"[""liturgical"", ""christian liturgy"", ""pastoral"", ""liturgy"", ""pastorale""]",5,0.015444278717041,False,False,False,False,0.0,0.0,0.5405405405405406,0.8827555775642395,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_zero_shot,practical pastoral ministry,"[""practical pastoral ministry"", ""day-to-day church service"", ""liturgical routine"", ""pastoral discipline"", ""ordinary worship""]",5,0.669630765914917,False,False,False,False,0.0,0.0,0.6666666666666667,0.8779455423355103,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_expansion,pastoral,"[""pastoral"", ""pastorale"", ""liturgical"", ""ecclesiastical"", ""christian liturgy""]",5,0.9483721256256104,False,False,False,False,0.0,0.0,0.5405405405405406,0.8827555775642395,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,llm_rerank,liturgical implementation,"[""liturgical implementation"", ""pastoral action"", ""practical pastoral application"", ""ritualistic practice"", ""worshipful conduct""]",5,1.1088533401489258,False,False,False,False,0.0,0.0,0.6808510638297872,0.8645930886268616,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,hybrid_fusion,Ordinary Liturgical Practice,"[""Ordinary Liturgical Practice"", ""Practical Pastoral Rite"", ""pastoral sacramental practice"", ""catholic liturgical discipline"", ""ecclesiastical pastoral habit""]",5,3.774383783340454,False,False,False,False,0.0,0.0,0.8,0.9082987308502196,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_base,liturgical implementation,"[""liturgical implementation"", ""practical pastoral application"", ""liturgical"", ""pastoral action"", ""christian liturgy""]",5,1.0940725803375244,False,False,False,False,0.0,0.0,0.5769230769230769,0.8827555775642395,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_llm_ranker,pastoral,"[""pastoral"", ""liturgical"", ""eucharistic liturgy"", ""pastoral sacramental practice"", ""pragmatic pastoral ministry""]",5,3.12725830078125,False,False,False,False,0.0,0.0,0.5714285714285714,0.8827555179595947,False,False
topic-1919,actual pastoral liturgical practice,current liturgical practice,mas_safe_hybrid,liturgical pastoralism,"[""liturgical pastoralism"", ""liturgical"", ""pastoral"", ""pastoral sacramental practice"", ""practical pastoral theology""]",5,3.0964813232421875,False,False,False,False,0.0,0.0,0.6122448979591837,0.8827555179595947,False,False
topic-1980,adhd,attention deficit disorder,same_term,adhd,"[""adhd""]",1,1.9073486328125e-06,False,False,False,False,0.0,0.0,0.1999999999999999,0.723759651184082,False,False
topic-1980,adhd,attention deficit disorder,wordnet_direct,attention deficit disorder,"[""attention deficit disorder"", ""ADD"", ""attention deficit hyperactivity disorder"", ""hyperkinetic syndrome"", ""minimal brain dysfunction"", ""minimal brain damage"", ""MBD""]",7,0.0001516342163085,True,True,True,True,0.2,1.0,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,embedding_wordnet,attention deficit hyperactivity disorder,"[""attention deficit hyperactivity disorder"", ""attention deficit disorder"", ""brain disorder"", ""ritalin"", ""disorder""]",5,0.0155692100524902,False,True,True,True,0.2,0.5,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,llm_zero_shot,Attention Deficit Disorder,"[""Attention Deficit Disorder"", ""Hyperactivity Disorder"", ""Disruptive Behavior Disorder"", ""Executive Function Deficit"", ""Neurodevelopmental Disorder""]",5,0.7297461032867432,True,True,True,True,0.2,1.0,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,llm_expansion,attention deficit disorder,"[""attention deficit disorder"", ""attention deficit hyperactivity disorder"", ""brain disorder"", ""disorderly behavior"", ""functional disorder""]",5,0.9723410606384276,True,True,True,True,0.2,1.0,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,llm_rerank,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Attentional Deficit Disorder"", ""Neurodevelopmental Disorder"", ""Hyperkinetic Disorder"", ""Behavioral Regulation Disorder""]",5,1.192990779876709,False,False,False,False,0.0,0.0,0.962962962962963,0.9852349162101746,False,False
topic-1980,adhd,attention deficit disorder,hybrid_fusion,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Attention Deficit Disorder"", ""Hyperactivity Disorder"", ""Neurodevelopmental Disorder"", ""Impulsivity Disorder""]",5,3.569143295288086,False,True,True,True,0.2,0.5,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,mas_base,Attention Deficit Hyperactivity Disorder,"[""Attention Deficit Hyperactivity Disorder"", ""Attention Deficit Disorder"", ""brain disorder"", ""disorder"", ""mental disorder""]",5,1.1205260753631592,False,True,True,True,0.2,0.5,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,mas_llm_ranker,attention deficit hyperactivity disorder,"[""attention deficit hyperactivity disorder"", ""attention deficit disorder"", ""hyperactive"", ""Executive Function Deficit"", ""Disruptive Behavior Disorder""]",5,2.4676053524017334,False,True,True,True,0.2,0.5,1.0,1.0000001192092896,True,True
topic-1980,adhd,attention deficit disorder,mas_safe_hybrid,attention deficit hyperactivity disorder,"[""attention deficit hyperactivity disorder"", ""attention deficit disorder"", ""brain disorder"", ""ritalin"", ""disorder""]",5,3.966757535934448,False,True,True,True,0.2,0.5,1.0,1.0000001192092896,True,True
topic-4079,administrative law,regulatory law,same_term,administrative law,"[""administrative law""]",1,1.430511474609375e-06,False,False,False,False,0.0,0.0,0.4375,0.5233328342437744,False,False
topic-4079,administrative law,regulatory law,wordnet_direct,,[],0,6.866455078125e-05,False,False,False,False,0.0,0.0,0.0,0.1738888621330261,False,False
topic-4079,administrative law,regulatory law,embedding_wordnet,administrative,"[""administrative"", ""administrative official"", ""administrative body"", ""law"", ""public law""]",5,0.0158679485321044,False,False,False,False,0.0,0.0,0.5,0.6358857154846191,False,False
topic-4079,administrative law,regulatory law,llm_zero_shot,Regulatory Law,"[""Regulatory Law"", ""Public Policy"", ""Government Regulation"", ""Administrative Justice"", ""Statutory Law""]",5,0.6256210803985596,True,True,True,True,0.2,1.0,1.0,1.0,True,True
topic-4079,administrative law,regulatory law,llm_expansion,law of the land,"[""law of the land"", ""statutory law"", ""regulation"", ""regulatory"", ""statutory""]",5,0.8766026496887207,False,False,False,False,0.0,0.0,0.8333333333333335,0.8850307464599609,False,False
topic-4079,administrative law,regulatory law,llm_rerank,Executive Law,"[""Executive Law"", ""Governmental Law"", ""Bureaucratic Law"", ""Public Law"", ""Legislative Law""]",5,1.0256762504577637,False,False,False,False,0.0,0.0,0.6206896551724138,0.5993784666061401,False,False
topic-4079,administrative law,regulatory law,hybrid_fusion,Public Law,"[""Public Law"", ""Administrative Justice"", ""Government Law"", ""Executive Law"", ""Governmental Law""]",5,3.003968954086304,False,False,False,False,0.0,0.0,0.5185185185185186,0.5993784666061401,False,False
topic-4079,administrative law,regulatory law,mas_base,administrative,"[""administrative"", ""administrative official"", ""administrative body"", ""administrative unit"", ""administration""]",5,0.995659351348877,False,False,False,False,0.0,0.0,0.303030303030303,0.3001857697963714,False,False
topic-4079,administrative law,regulatory law,mas_llm_ranker,administrative,"[""administrative"", ""law"", ""public law"", ""administration"", ""laws""]",5,2.353196620941162,False,False,False,False,0.0,0.0,0.5,0.6612653732299805,False,False
topic-4079,administrative law,regulatory law,mas_safe_hybrid,law,"[""law"", ""administrative"", ""Governmental Law"", ""administrative official"", ""public law""]",5,2.9453647136688232,False,False,False,False,0.0,0.0,0.5,0.6358857154846191,False,False
topic-2276,adorno,critical theorist,same_term,adorno,"[""adorno""]",1,1.9073486328125e-06,False,False,False,False,0.0,0.0,0.2608695652173913,0.2130218595266342,False,False
topic-2276,adorno,critical theorist,wordnet_direct,,[],0,2.7179718017578125e-05,False,False,False,False,0.0,0.0,0.0,0.1391798853874206,False,False
topic-2276,adorno,critical theorist,embedding_wordnet,adonis,"[""adonis"", ""adzharia"", ""adesite"", ""ad val"", ""schiaparelli""]",5,0.0158488750457763,False,False,False,False,0.0,0.0,0.3478260869565217,0.211487591266632,False,False
topic-2276,adorno,critical theorist,llm_zero_shot,Critique,"[""Critique"", ""Theory"", ""Philosophy"", ""Marxism"", ""Hegemony""]",5,0.6116578578948975,False,False,False,False,0.0,0.0,0.48,0.5202205181121826,False,False
