topic,term,ground_truths,prediction,candidates,exact_match,top_3,top_5,top_8,top_8_fuzzy,mrr,mrr_fuzzy
topic-1292,labour and health,"[""occupational health""]",Workforce wellness,"[""Workforce wellness"", ""Occupational safety"", ""Employee health monitoring"", ""Industrial hygiene practices"", ""Occupational stress management"", ""Ergonomic workplace design"", ""Wellness at work initiatives"", ""Corporate health and safety policies""]",False,False,False,False,False,0.0,0.0
topic-1293,industrial and organisational psychology,"[""work psychology""]",Industrial-Organizational Science,"[""Industrial-Organizational Science"", ""Workplace Psychology"", ""Occupational Health Psychology"", ""Management and Organization Studies"", ""Organizational Behavior Studies"", ""Applied Social Psychology"", ""Occupational Performance Measurement"", ""Personnel Selection and Placement""]",False,False,False,False,True,0.0,0.5
topic-6581,working hours,"[""working time""]",Schedule,"[""Schedule"", ""Time allocation"", ""Work period"", ""Shifts"", ""Working day"", ""Labor hours"", ""Staffing schedule"", ""Occupational load""]",False,False,False,False,False,0.0,0.0
topic-1296,labour economics,"[""employment economics""]",Industrial relations,"[""Industrial relations"", ""Labour market dynamics"", ""Human capital development"", ""Workforce management"", ""Employment studies"", ""Industrial organization"", ""Public sector economics""]",False,False,False,False,False,0.0,0.0
topic-2201,labour market,"[""employment market""]",Employment sector,"[""Employment sector"", ""Labour force"", ""Industry employment"", ""Workforce economy"", ""Job market dynamics"", ""Occupational landscape"", ""Human capital pool""]",False,False,False,False,False,0.0,0.0
topic-6603,labour market policy,"[""employment policy""]",Employment regulation,"[""Employment regulation"", ""Industrial relations policy"", ""Labour force governance"", ""Workforce development strategy"", ""Job creation initiative"", ""Regulatory labour framework"", ""Occupational labour standards"", ""Human resources management""]",False,False,False,False,False,0.0,0.0
topic-1298,labour market issues,"[""employment issues""]",Employment problems,"[""Employment problems"", ""Job market challenges"", ""Workforce difficulties"", ""Human resource issues"", ""Staffing concerns"", ""Labour force dynamics"", ""Occupational obstacles"", ""Economic inequality""]",False,False,False,False,False,0.0,0.0
topic-1299,job motivation,"[""work motivation""]",Work enthusiasm,"[""Work enthusiasm"", ""Professional drive"", ""Job satisfaction"", ""Career fulfillment"", ""Personal ambition"", ""Motivational force"", ""Intrinsic interest"", ""Work engagement""]",False,False,False,False,False,0.0,0.0
topic-6661,working conditions,"[""employment conditions""]",Environmental factors,"[""Environmental factors"", ""Occupational health"", ""Job site safety"", ""Workplace environment"", ""Industrial hygiene"", ""Employee well-being"", ""Labor standards"", ""Safety protocols""]",False,False,False,False,False,0.0,0.0
topic-1300,work participation,"[""employment participation""]",Employment engagement,"[""Employment engagement"", ""Participation in labor force"", ""Occupational commitment"", ""Active employment status"", ""Labor market participation"", ""Workforce involvement"", ""Productivity engagement"", ""Professional engagement""]",False,False,False,False,False,0.0,0.0
topic-1301,labour law,"[""employment law""]",Employment legislation,"[""Employment legislation"", ""Industrial relations law"", ""Labour standards"", ""Regulatory framework"", ""Workplace governance"", ""Employee rights"", ""Occupational health and safety"", ""Workplace regulations""]",False,False,False,False,True,0.0,1.0
topic-1303,reduction of working hours,"[""workweek reduction""]",Shortening work hours,"[""Shortening work hours"", ""Compressed schedule"", ""Flexible time arrangement"", ""Decreased labor hours"", ""Time compression"", ""Compact workweek"", ""Part-time employment"", ""Reduced working load""]",False,False,False,False,False,0.0,0.0
topic-1302,industrial/labour relations,"[""employment relations""]",Industrial relations,"[""Industrial relations"", ""Workplace relations"", ""Labour-management relations"", ""Employment relations"", ""Collective bargaining"", ""Industrial relations management"", ""Organizational labour dynamics""]",False,False,True,True,True,0.25,0.25
topic-1305,working conditions creation,"[""quality of worklife""]",Occupational health standards,"[""Occupational health standards"", ""Health and safety protocols"", ""Industrial hygiene practices"", ""Regulatory compliance framework"", ""Organizational well-being initiatives"", ""Workplace wellness programs"", ""Human resources policies"", ""Corporate social responsibility measures""]",False,False,False,False,False,0.0,0.0
topic-1306,labour issues,"[""employment issues""]",Workplace problems,"[""Workplace problems"", ""Employee grievances"", ""Industrial disputes"", ""Union concerns"", ""Staffing challenges"", ""Workforce issues"", ""Job dissatisfaction"", ""Employment difficulties""]",False,False,False,False,False,0.0,0.0
topic-4081,arbitration,"[""dispute arbitration""]",Mediation,"[""Mediation"", ""Dispute resolution"", ""Alternative dispute resolution (ADR)"", ""Neutral arbitration"", ""Conflict resolution process"", ""Settlement mediation"", ""Dispute settlement""]",False,False,False,False,False,0.0,0.0
topic-3937,reasoning,"[""logical argumentation""]",Logical deduction,"[""Logical deduction"", ""Critical thinking"", ""Inference"", ""Argumentation"", ""Decision-making"", ""Cognitive process"", ""Rationalization"", ""Analytical reasoning""]",False,False,False,False,True,0.0,0.25
topic-5627,aristoteles,"[""Aristotle""]",Philosopher,"[""Philosopher"", ""Ancient Greek Thinker"", ""Stagirite"", ""Pre-Socratic Philosopher"", ""Peripatetic School Founder"", ""Father of Logic""]",False,False,False,False,False,0.0,0.0
topic-2517,poverty,"[""destitution""]",Indigence,"[""Indigence"", ""Poverty stricken"", ""Needy"", ""Impoverished"", ""Deprivation"", ""Destitution"", ""Want"", ""Socioeconomic disadvantage""]",False,False,False,True,True,0.16666666666666666,0.16666666666666666
topic-2519,asylum seekers,"[""refugees""]",Refugees,"[""Refugees"", ""Forced migrants"", ""Displaced individuals"", ""Internally displaced persons"", ""Protected persons"", ""Stateless people"", ""Vulnerable populations"", ""Unaccompanied minors""]",True,True,True,True,True,1.0,1.0
topic-1309,asset liability management,"[""balance sheet management""]",Portfolio risk management,"[""Portfolio risk management"", ""Financial asset allocation"", ""Risk-based investment strategy"", ""Asset portfolio diversification"", ""Investment portfolio optimization"", ""Balance sheet management"", ""Capital structure optimization""]",False,False,False,True,True,0.16666666666666666,0.16666666666666666
topic-21,attitudes,"[""mindset""]",Perceptions,"[""Perceptions"", ""Opinions"", ""Beliefs"", ""Dispositions"", ""Sentiments"", ""Attitudinal orientations"", ""Personality traits""]",False,False,False,False,False,0.0,0.0
topic-6701,auditory perception,"[""hearing perception""]",Hearing,"[""Hearing"", ""Auditory processing"", ""Acoustic perception"", ""Aural perception"", ""Sensory reception"", ""Perceptual hearing"", ""Sound reception"", ""Phonetic detection""]",False,False,False,False,True,0.0,1.0
topic-3542,augustine,"[""St. Augustine""]",Monastic,"[""Monastic"", ""Reverend"", ""Venerable"", ""Mystical"", ""Spiritual"", ""Clerical"", ""Sacerdotal""]",False,False,False,False,False,0.0,0.0
topic-1313,automatic language analysis,"[""computational linguistics""]",Natural Language Processing,"[""Natural Language Processing"", ""Automated Linguistic Analysis"", ""Machine Learning for Texts"", ""Computational Natural Language"", ""Linguistic Data Mining"", ""Text Analysis Software"", ""Language Pattern Recognition"", ""Speech and Language Processing""]",False,False,False,False,False,0.0,0.0
topic-3966,automation,"[""mechanization""]",Robotization,"[""Robotization"", ""Mechanization"", ""Machine learning"", ""Artificial intelligence"", ""Self-service"", ""Process optimization"", ""Efficiency enhancement"", ""Automatization""]",False,True,True,True,True,0.5,0.5
topic-1905,autonomy and moral,"[""self-governance and ethics""]",Self-governance,"[""Self-governance"", ""Moral agency"", ""Ethical independence"", ""Personal liberty"", ""Free will"", ""Autonomous decision-making"", ""Morally grounded values"", ""Principled self-determination""]",False,False,False,False,True,0.0,1.0
topic-2527,bank - firm relationships,"[""financial partnerships""]",Business partnerships,"[""Business partnerships"", ""Client-firm collaborations"", ""Firm-client bonds"", ""Relationships with clients"", ""Commercial alliances""]",False,False,False,False,False,0.0,0.0
topic-5721,banking law,"[""financial law""]",Financial regulation,"[""Financial regulation"", ""Regulatory framework"", ""Banking legislation"", ""Capital markets regulation"", ""Securities laws and regulations"", ""Regulatory compliance law"", ""Banking and finance law"", ""Monetary policy guidelines""]",False,False,False,False,True,0.0,1.0
topic-1316,banking systems,"[""financial systems""]",Financial institutions,"[""Financial institutions"", ""Banking infrastructure"", ""Payment networks"", ""Monetary management systems"", ""Credit facilities"", ""Financial transaction systems"", ""Regulatory frameworks""]",False,False,False,False,True,0.0,0.16666666666666666
topic-1318,primary education,"[""elementary education""]",Early childhood education,"[""Early childhood education"", ""Childhood foundational learning"", ""Primary school education"", ""Elementary instruction"", ""Formative years education"", ""Initial schooling experience"", ""Pre-primary education"", ""Foundation phase learning""]",False,False,False,False,True,0.0,0.25
topic-5221,bayesian statistics,"[""Bayesian inference""]",Inference theory,"[""Inference theory"", ""Probabilistic modeling"", ""Conditional probability analysis"", ""Statistical inference framework"", ""Bayes' rule application"", ""Decision theory under uncertainty"", ""Information-theoretic analysis""]",False,False,False,False,False,0.0,0.0
topic-4283,corporate policy and strategy,"[""business strategy""]",Business plan,"[""Business plan"", ""Organizational framework"", ""Corporate governance model"", ""Strategic direction"", ""Management framework"", ""Enterprise approach"", ""Operational blueprint"", ""Executive vision document""]",False,False,False,False,False,0.0,0.0
topic-1998,business communication and ethics,"[""corporate communication ethics""]",Professional etiquette,"[""Professional etiquette"", ""Corporate governance"", ""Workplace conduct"", ""Organizational integrity"", ""Business protocol"", ""Ethical management"", ""Corporate social accountability"", ""Institutional compliance""]",False,False,False,False,False,0.0,0.0
topic-5551,business modelling,"[""business analytics""]",Entrepreneurial strategy,"[""Entrepreneurial strategy"", ""Business planning framework"", ""Organizational design model"", ""Strategic operations approach"", ""Corporate development plan"", ""Innovation incubation framework"", ""Value chain optimization technique"", ""Sustainable enterprise architecture""]",False,False,False,False,False,0.0,0.0
topic-1320,business economics,"[""managerial economics""]",Corporate finance,"[""Corporate finance"", ""Economic management"", ""Financial strategy"", ""Enterprise management"", ""Management science""]",False,False,False,False,False,0.0,0.0
topic-1321,business ethics,"[""corporate ethics""]",Corporate morality,"[""Corporate morality"", ""Organizational integrity"", ""Professional conduct"", ""Moral governance"", ""Ethical management"", ""Enterprise values"", ""Institutional ethics""]",False,False,False,False,False,0.0,0.0
topic-2532,business studies,"[""business administration""]",Management sciences,"[""Management sciences"", ""Business administration"", ""Organizational behavior"", ""Corporate finance"", ""Management studies""]",False,True,True,True,True,0.5,0.5
topic-15222,Firm relocation,"[""business relocation""]",Corporate migration,"[""Corporate migration"", ""Business reassignment"", ""Company move"", ""Human capital relocation"", ""Enterprise reestablishment"", ""Workforce redeployment"", ""Facility transfer"", ""Site changeover""]",False,False,False,False,False,0.0,0.0
topic-7801,companies,"[""businesses""]",Firms,"[""Firms"", ""Enterprises"", ""Businesses"", ""Organizations"", ""Corporations"", ""Associations"", ""Conglomerates""]",False,True,True,True,True,0.3333333333333333,0.3333333333333333
topic-8685,bounded rationality,"[""limited rationality""]",Limited decision-making,"[""Limited decision-making"", ""Rational boundedness"", ""Cognitive constraint"", ""Pragmatic thinking"", ""Decisional scope"", ""Probabilistic approximation"", ""Heuristics-based reasoning"", ""Simplified modeling""]",False,False,False,False,False,0.0,0.0
topic-5681,information systems management,"[""IT management""]",Information technology management,"[""Information technology management"", ""IT governance"", ""Organizational information architecture"", ""Business process optimization"", ""Data analytics oversight"", ""Information resource allocation"", ""System integration coordination"", ""Technology infrastructure maintenance""]",False,False,False,False,True,0.0,1.0
topic-2536,taxes,"[""levies""]",Duties,"[""Duties"", ""Assessments"", ""Contributions"", ""Revenue"", ""Imposts"", ""Tariffs"", ""Excises"", ""Dues""]",False,False,False,False,False,0.0,0.0
topic-1327,tax law,"[""fiscal law""]",Revenue legislation,"[""Revenue legislation"", ""Income tax code"", ""Taxation policy"", ""Statutory regulation"", ""Fiscal governance"", ""Legislative framework"", ""Public finance law""]",False,False,False,False,False,0.0,0.0
topic-1328,investment,"[""investing""]",Portfolio,"[""Portfolio"", ""Capitalization"", ""Financial Venture"", ""Business Outlay"", ""Asset Allocation"", ""Venture Capital"", ""Funding Commitment"", ""Economic Stake""]",False,False,False,False,False,0.0,0.0
topic-11441,investor behaviour,"[""Investor psychology""]",Portfolio holder behavior,"[""Portfolio holder behavior"", ""Investment decision-making"", ""Risk-taking propensity"", ""Capital allocator behavior"", ""Financial investor conduct"", ""Asset manager behavior"", ""Investor choice behavior"", ""Capital allocation decision""]",False,False,False,False,False,0.0,0.0
topic-6461,mutual fund,"[""investment fund""]",Investment portfolio,"[""Investment portfolio"", ""Equity pooling scheme"", ""Asset allocation vehicle"", ""Portfolio investment trust"", ""Diversified investment vehicle"", ""Capital pool investment"", ""Collective investment scheme"", ""Wealth management fund""]",False,False,False,False,True,0.0,1.0
topic-1331,policy evaluation,"[""policy analysis""]",Assessment,"[""Assessment"", ""Analysis"", ""Evaluation"", ""Review"", ""Impact assessment"", ""Program assessment"", ""Regulatory analysis"", ""Public sector reform""]",False,False,False,False,True,0.0,0.5
topic-4681,mediation,"[""conflict resolution""]",Arbitration,"[""Arbitration"", ""Conflict Resolution"", ""Negotiation Facilitation"", ""Dispute Settlement"", ""Intermediation"", ""Neutral Third Party Intervention"", ""Counseling for Conflict"", ""Diplomatic Negotiation""]",False,True,True,True,True,0.5,0.5
topic-9022,assertive outreach,"[""proactive engagement""]",Proactive engagement,"[""Proactive engagement"", ""Assertive communication"", ""Persistent follow-up"", ""Direct contact"", ""Forceful persuasion""]",True,True,True,True,True,1.0,1.0
topic-2541,berber language,"[""Tamazight""]",Amazigh,"[""Amazigh"", ""Tamazight"", ""Imazighen"", ""North African Berber"", ""Berbère"", ""Atlas Tamazight"", ""Mozabite""]",False,True,True,True,True,0.5,1.0
topic-1997,occupational ethics,"[""professional ethics""]",Professional conduct,"[""Professional conduct"", ""Moral business standards"", ""Occupational responsibility"", ""Business integrity"", ""Socially responsible practice"", ""Ethical workplace norms"", ""Workplace moral principles"", ""Institutional ethics""]",False,False,False,False,False,0.0,0.0
topic-15902,Occupational ethics for ministers,"[""ministerial ethics""]",Ministerial professionalism,"[""Ministerial professionalism"", ""Religious leadership standards"", ""Pastoral integrity"", ""Clerical conduct guidelines"", ""Moral clergy practices"", ""Spiritual governance principles"", ""Church ethics for clergy"", ""Faith-based ministerial codes""]",False,False,False,False,False,0.0,0.0
topic-4353,occupational diseases,"[""work-related illnesses""]",Work-related illnesses,"[""Work-related illnesses"", ""Industrial health problems"", ""Occupational hazards"", ""Job-related sicknesses"", ""Toxic exposures"", ""Vocational diseases"", ""Workplace afflictions""]",True,True,True,True,True,1.0,1.0
topic-16804,protected species,"[""endangered species""]",Endangered species,"[""Endangered species"", ""Vulnerable species"", ""Protected fauna"", ""Threatened species"", ""Sensitive species"", ""Species at risk"", ""Critical conservation status""]",True,True,True,True,True,1.0,1.0
topic-2542,decision theory,"[""decision analysis""]",Rational choice,"[""Rational choice"", ""Game theory"", ""Probabilistic reasoning"", ""Decision analysis"", ""Optimization theory"", ""Cognitive decision-making"", ""Risk assessment"", ""Strategic planning""]",False,False,True,True,True,0.25,0.25
topic-2643,decision support systems,"[""decision aid systems""]",Expert System,"[""Expert System"", ""Decision Aids"", ""Business Intelligence Tools"", ""Management Information Systems"", ""Strategic Planning Software"", ""Guided Decision Support"", ""Informed Choice Systems"", ""Analytical Advisory Systems""]",False,False,False,False,False,0.0,0.0
topic-6807,decision making,"[""decision process""]",Judgment forming,"[""Judgment forming"", ""Problem solving strategy"", ""Cognitive choice process"", ""Decisional process"", ""Critical thinking approach"", ""Executive function"", ""Policy formulation"", ""Strategic planning""]",False,False,False,False,True,0.0,0.25
topic-1337,information management and technology,"[""information systems management""]",Information systems management,"[""Information systems management"", ""Digital asset administration"", ""Data lifecycle management"", ""IT information services"", ""Information technology integration"", ""Knowledge resource optimization"", ""Organizational knowledge infrastructure"", ""Technology-enabled data governance""]",True,True,True,True,True,1.0,1.0
topic-1338,administrative reform,"[""bureaucratic reform""]",Policy overhaul,"[""Policy overhaul"", ""Regulatory revision"", ""Governance restructuring"", ""Administrative modernization"", ""Bureaucratic reorganization"", ""Government reorganization"", ""Organizational renewal"", ""Public sector reform""]",False,False,False,False,False,0.0,0.0
topic-1340,management of non-profit organisations,"[""non-profit management""]",Governance,"[""Governance"", ""Non-Profit Administration"", ""Voluntary Sector Management"", ""Not-for-Profit Supervision"", ""Organizational Stewardship"", ""Philanthropic Leadership"", ""Charitable Oversight"", ""Public Benefit Regulation""]",False,False,False,False,False,0.0,0.0
topic-1341,public administration,"[""administrative organisation""]",Government management,"[""Government management"", ""Administrative governance"", ""Public service delivery"", ""Civil service"", ""State sector administration"", ""Governance and administration"", ""Public policy implementation"", ""Public sector management""]",False,False,False,False,False,0.0,0.0
topic-3792,administrative procedural law,"[""administrative litigation""]",Administrative governance,"[""Administrative governance"", ""Procedural legislation"", ""Statutory regulation"", ""Bureaucratic law"", ""Administrative rules"", ""Regulatory compliance"", ""Legislative procedure""]",False,False,False,False,True,0.0,0.2
topic-8942,consciousness,"[""awareness""]",Awareness,"[""Awareness"", ""Sentience"", ""Self-awareness"", ""Conscious experience"", ""Subjectivity"", ""Mindfulness"", ""Phenomenology""]",True,True,True,True,True,1.0,1.0
topic-2278,bible (studies),"[""biblical studies""]",Scriptural analysis,"[""Scriptural analysis"", ""Biblical scholarship"", ""Sacred texts studies"", ""Religious scripture interpretation"", ""Theological hermeneutics"", ""Canonical criticism""]",False,False,False,False,False,0.0,0.0
topic-2332,bible as literature,"[""scriptural literature""]",Sacred scripture,"[""Sacred scripture"", ""Holy text"", ""Scriptural narrative"", ""Canonical work"", ""Divine revelation"", ""Sacred writings""]",False,False,False,False,False,0.0,0.0
topic-16882,Bible and culture,"[""scriptural influence on culture""]",Sacred scripture,"[""Sacred scripture"", ""Religious text"", ""Scriptural tradition"", ""Historical canon"", ""Cultural heritage"", ""Ethnographic source"", ""Orthodox canon""]",False,False,False,False,False,0.0,0.0
topic-2330,bible translations,"[""scripture translations""]",Scriptural renderings,"[""Scriptural renderings"", ""Biblical renderings"", ""Holy book translations"", ""Scriptural paraphrases"", ""Religious text adaptations"", ""Sacred writings editions"", ""Revised standard versions""]",False,False,False,False,False,0.0,0.0
topic-1344,bible studies; exegesis,"[""Bible interpretation""]",Scriptural analysis,"[""Scriptural analysis"", ""Interpretive commentary"", ""Sacred text scholarship"", ""Theological exposition"", ""Exegetical discourse"", ""Biblical interpretation"", ""Scriptural critique"", ""Religious text analysis""]",False,False,False,False,True,0.0,0.16666666666666666
topic-1346,bible studies; new testament,"[""New Testament studies""]",Scriptural analysis,"[""Scriptural analysis"", ""New Testament interpretations"", ""Biblical exegesis"", ""Christian scriptures"", ""Sacred writings"", ""Hebrews and Greek texts"", ""Old and New Covenant studies""]",False,False,False,False,False,0.0,0.0
topic-1348,biodiversity,"[""natural diversity""]",Ecological richness,"[""Ecological richness"", ""Species variety"", ""Biota diversity"", ""Environmental richness"", ""Taxonomic diversity"", ""Genetic variation""]",False,False,False,False,False,0.0,0.0
topic-12123,"Blanchot, Maurice (1907-2003)","[""literary philosopher""]",Maurice Blanchot,"[""Maurice Blanchot"", ""French philosopher"", ""Existentialist thinker"", ""Philosopher of literature"", ""Post-structuralist theorist"", ""Writer and critic"", ""French literary critic"", ""Theorist of absence""]",False,False,False,False,True,0.0,0.25
topic-1351,urban planning and building law,"[""city planning regulations""]",Urban governance,"[""Urban governance"", ""City development regulation"", ""Municipal policy making"", ""Zoning ordinance compliance"", ""Public space management"", ""Land use planning regulations"", ""Construction law compliance"", ""Regulatory urbanism""]",False,False,False,False,True,0.0,0.16666666666666666
topic-1352,brabant,"[""Brabant region""]",Flemish region,"[""Flemish region"", ""Dutch province"", ""Belgian territory"", ""Low Countries area"", ""Southern Netherlands"", ""Brabantian land"", ""Netherlandic territory""]",False,False,False,False,False,0.0,0.0
topic-1402,Letter of James,"[""Epistle of James""]",Epistle from James,"[""Epistle from James"", ""Letter from James"", ""James's Testament"", ""Testament of James"", ""James's Epistle"", ""James's Testimony""]",False,False,False,False,True,0.0,1.0
topic-1356,law of civil procedure,"[""civil litigation law""]",Procedure law,"[""Procedure law"", ""Legal process"", ""Judicial process"", ""Procedural code"", ""Court rules"", ""Statutory regulation"", ""Administrative procedure act"", ""Regulatory framework""]",False,False,False,False,False,0.0,0.0
topic-1357,civil law,"[""non-criminal law""]",Common Law,"[""Common Law"", ""Juridical Code"", ""Statutory Law"", ""Legal Code"", ""Codified Law"", ""Normative Order"", ""Institutionalized Law"", ""Regulatory Framework""]",False,False,False,False,False,0.0,0.0
topic-17103,Citizens Participation,"[""public involvement""]",Community Engagement,"[""Community Engagement"", ""Public Involvement"", ""Participatory Democracy"", ""Citizen Engagement"", ""Active Citizenship"", ""Public Consultation"", ""Stakeholder Participation"", ""Inclusive Governance""]",False,True,True,True,True,0.5,0.5
topic-13521,citizenship,"[""nationality""]",Nationality,"[""Nationality"", ""Residency"", ""Domicile"", ""Inhabitancy"", ""Territoriality"", ""Statehood"", ""Community Membership""]",True,True,True,True,True,1.0,1.0
topic-9901,burnout,"[""exhaustion""]",Exhaustion,"[""Exhaustion"", ""Emotional Drain"", ""Erosion of Motivation"", ""Mental Exhaustion"", ""Professional Overwork"", ""Work-Related Stress Disorder"", ""Chronic Fatigue Syndrome""]",True,True,True,True,True,1.0,1.0
topic-15463,Business Process Management,"[""process optimization""]",Operational Excellence,"[""Operational Excellence"", ""Process Optimization"", ""Continuous Improvement"", ""Organizational Efficiency"", ""Performance Enhancement"", ""Business Process Re-engineering"", ""Supply Chain Management"", ""Management Oversight""]",False,True,True,True,True,0.5,0.5
topic-9783,business transactions,"[""commercial dealings""]",Commercial dealings,"[""Commercial dealings"", ""Financial exchanges"", ""Trade agreements"", ""Business engagements"", ""Economic exchanges"", ""Commercial negotiations"", ""Market transactions"", ""Corporate interactions""]",True,True,True,True,True,1.0,1.0
topic-2564,collective labour agreements,"[""union contracts""]",Industry Bargaining Agreements,"[""Industry Bargaining Agreements"", ""Union Negotiated Conventions"", ""Workforce Collective Arrangements"", ""Trade Union Contracts"", ""Occupational Bargaining Frameworks"", ""Labor Union Conventions"", ""Guild Negotiated Accords""]",False,False,False,False,True,0.0,0.25
