en,en_synonym
health care organisation,health services management
health care strategy and management,health care administration
globalisation,international integration
images of god en men,theological representations
images of god,conceptions of God
religion,faith
religion and pastoral sociology,religious sociology
religions; phenomenology,religious studies
gambling addiction,compulsive gambling
greek,Koine Greek
group dynamics,team dynamics
group support systems,collaborative systems
foundations of mathematics,mathematical foundations
foundations of developments in european law,principles of European legal development
habermas,critical theorist
hebrew,ancient Hebrew
hebrew bible,Tanakh
attachment,bonding
contemporary philosophy; history of,modern philosophy; historical development
hedge funds,investment funds
hegel,Hegelian philosophy
hermeneutics,interpretive theory
brain and behaviour,neurobehavioral science
brain damage,brain injury
recovery (in long term psychiatry),rehabilitation
scalp cooling,head cooling
household economics,family economics
assistance,support services
human resource development,talent development
humanitarian intervention,humanitarian aid
hyperactivity,overactivity
ict management,IT administration
identity,self-concept
identity management,IdM
industrial networks,industrial connections
computer science and ethics,ethical computing
information and communication technology in education,educational technology
information management,data management
information processes,information processing
Information Systems Management,IT management
information technology,IT
data processing,information processing
information retrieval,information search
infrastructure,facilities
Indigenous peoples,native communities
Purchasing and supply management,procurement management
innovation,advancement
insolvency law,bankruptcy law
institutional economics,institutional theory
institutional theory,Institutional framework
intelligence differences between cultures,cross-cultural intelligence
Inter-organizational networks,collaborative networks
inter-organisational relationships,inter-firm relationships
interaction and communication skills,interpersonal skills
intercultural assistance,cross-cultural support
internal control,internal oversight
international monetary fund,global financial institution
international law,global law
International Financial Reporting Standards (IFRS),global accounting standards
international finance,global finance
international trade,global commerce
inter-religious communication,interfaith dialogue
investment under uncertainty,uncertain investments
investment analysis,investment evaluation
islam,Islamic studies
ivf,test-tube fertilization
James,Jacob
The Book of Ben Sira,Ecclesiasticus
jesus,Christ
Jews in modernity,modern Jewish history
"Judaism, modern",contemporary Judaism
youth and pastoral care,youth ministry
legal skills,legal competencies
cancer,malignant neoplasm
catholic church in the 19th and 20th century,modern Catholic history
epistemology,theory of knowledge
church state relations,church-state interaction
ministry,Clergy
church authority,ecclesiastical authority
ecclesial leadership,Ecclesiastical leadership
church music,sacred music
"church fathers, ancient",early theologians
voting mechanisms,electoral methods
electoral systems,voting system
clinical neuropsychology,neuropsychological therapy
credit systems,credit infrastructure
Kriging,spatial interpolation
critical theory,radical critique
splines,curves
philosophy of art,aesthetics philosophy
quality of work,work quality
quality of life,well-being
quality of the judiciary,judicial performance
agriculture,farming
latin,classical language
reading disorders,reading difficulties
leadership,guidance
machine learning,automated learning
learning organisations,adaptive organizations
Latvia,Latvian Republic
levinas,Levinasian philosophy
liberalism and political philosophy,liberal political theory
literary-historical aspects,textual history
literature and theology,theological literature
study of literature,literary analysis
liturgical studies,liturgical theology
liturgical latin,ecclesiastical Latin
liturgic celebrations,religious ceremonies
logic,reasoning
logic and philosophy of language,analytical philosophy
logistics,supply chain management
logistics management,supply chain management
Local Democracy,community governance
tax on wages/income tax,income tax
corporate social responsibility,corporate conscience
machiavelli,political strategist
management,administration
management and ethics,ethical management
small business management,small enterprise management
marketing,market strategy
market research,market analysis
Marx,Marxism
marxism,Marxist theory
substantive criminal law,criminal code
mathematical statistics,statistical mathematics
mathew,Matthew's Gospel
competition policy,antitrust policy
competition law,antitrust law
codetermination,worker participation
Media,communication channels
mediation,dispute resolution
medical psychology,health psychology
human evolution,human development
human rights,Civil Liberties
mental effort,cognitive effort
metaphors,allegories
metaphysics of reason and action,philosophy of action
methodology and statistics,research methods and statistics
methodology,research methods
Methodology of civil law,Civil law methodology
medieval theology,Middle Ages theology
small and medium-sized enterprises,small businesses
migrants,immigrants
Migration Law,immigration law
environmental policy,ecological policy
environmental impact study,environmental assessment
environmental management,ecological management
environmental criminal law,ecological criminal law
doctrines of war,Military doctrine
minorities,ethnic groups
modeling,simulation
modern devotion,contemporary piety
modern philosophy; history of,contemporary philosophy history
mother tongue; education,native language education
monetary policy,financial policy
morphology,linguistic morphology
muslims - christians dialogue,interfaith dialogue
multimedia,mixed media
"Nancy, Jean-Luc (1940-)",contemporary philosopher
physics,physical science
privilege against self-incrimination,right to remain silent
Networks,interconnected systems
neurophysiology,neural physiology
neuropsychology,brain-behavior science
new testament,Christian Scriptures
non profit sector,charitable sector
Nonverbal communication,body language
nonprofit organisations,charitable organizations
numerical analysis,computational mathematics
sales tax,value-added tax
negotiating,negotiation
enterprises,businesses
corporate finance,business finance
corporate models,business frameworks
company strategy,business strategy
education,schooling
educational and training psychology,instructional psychology
educational law,school law
sociology of education,educational sociology
research design,study plan
online dispute resolution,e-mediation
development economics,economic development
developing countries; economy,emerging economies
eye tracking,gaze tracking
Eastern Europe,East Europe
public administration,public management
public finance of local authorities,municipal finance
revelation,divine disclosure
operations research,operational analysis
options,financial derivatives
parenting,child rearing
organisation and management,business administration
organizational commitment,workplace loyalty
organisational culture,corporate culture
organisational psychology,industrial psychology
organisational sociology,sociology of organizations
organisation theory,organizational theory
organisational change,organizational transformation
organisation studies,organizational studies
old testament,Hebrew Bible
aging,growing old
elderly people,senior citizens
government policy,public policy
public economics,government economics
government finance,public finance
paneldata and latent variables,longitudinal data and hidden variables
pastoral psychology,Pastoral Counseling Psychology
pastoral sociology,sociology of pastoral care
priesthood/pastoral care,clerical ministry
pastoral counseling,spiritual counseling
pensions,retirement benefits
Personalization,customization
psychology of human resources,occupational psychology
human resource development,employee development
persons and family law,family law
personal growth,self-improvement
personality and health,health psychology
persuasive communication,persuasion
pluralism,diversity
pastoral care,spiritual care
consensus democracy,Consensus-based democracy
political science,government studies
political parties,Political Groups
portfolio theory,investment theory
practical theology,applied theology
performance indicators,performance metrics
private law,civil law
privacy,confidentiality
privatization,deregulation
procedural law,legal procedure
production management,manufacturing process management
programming,coding
psychiatry and religion,mental health and spirituality
mental disorders,psychological disorders
psycho-oncology,cancer psychology
psychopharmacology,neuropharmacology
psychophysiology,physiological psychology
psycholinguistics,language psychology
psychology,mental science
psychological contract,implicit agreement
psychological marketing,consumer psychology
psychometrics,psychological measurement
psychonomics,cognitive psychology
psychosomatics,mind-body medicine
public/private distinction,public-private divide
public sector,government sector
rawls,John Rawls' theories
law and economics,economic law
law and informatization/computerization,legal informatics
legal principles,legal doctrines
history of law,legal history
legal persons law,corporate law
rule of law,legal governance
legal theory,jurisprudence
comparative law,legal comparison
judicial construction,legal interpretation
advertising,promotion
reflection,contemplation
regional governance,regional administration
regional economics,local economics
regional history,local history
relationship between judaism and christianity,Judeo-Christian relations
religion,religious tradition
religious fundamentalism,religious extremism
religious leadership,spiritual leadership
religious associations,faith-based groups
rethorics,persuasive speech
risk models,risk assessment models
risk regulation,risk management
rituals,ceremonies
mourning,grieving
spatial information / geographical information,location data
sacramental theology,sacramentology
collaborative learning,cooperative learning
shame,embarrassment
estimation theory,parameter estimation
writing methods/processes/techniques,writing strategies
guilt,remorse
gender differences,gender disparities
semantics,meaning analysis
simulation,imitative representation
victims,survivors
social network analysis,network analysis
social law,welfare law
social classification,social categorization
social cognition,Social understanding
social cohesion,social unity
social dilemmas,collective action problem
social philosophy / social ethics,social ethics
social inequality,social disparity
social politics,welfare politics
social processes,interpersonal process
social psychology,interpersonal psychology
social exclusion,marginalization
social security,welfare system
social security principles,welfare principles
social security law,welfare law
sociology,social science
sociological theories,social theories
solidarity,unity
spanish,Castilian
spelling,orthography
game theory,strategic interaction theory
spirituality,spiritual life
speech technology,voice technology
talking computer,speech-enabled computer
municipal law,local government law
statistics,data analysis
urban development,city planning
disorders,conditions
criminal law,penal law
strategic management,strategic planning
strategic decision-making,strategic planning
stress management,stress control
study skills,learning techniques
supervision,oversight
syntax,sentence structure
systems theory,systems analysis
language and artificial intelligence,computational linguistics
language and minorities,minority languages
philosophy of language,linguistic philosophy
language behaviour,linguistic behavior
linguistic information systems,language processing systems
origin of language,glottogony
language psychology,psycholinguistics
language proficiency,language skills
technology and ethics,tech ethics
document design,text design
discourse studies,text analysis
Questionnaire design,survey design
testing,assessment
applied econometrics,practical econometrics
applied linguistics,practical linguistics
computer applications,software applications
tourism,travel industry
transition economics,transformation economics
triad model,three-part model
turkish migrants,Turkish immigrants
bilingualism and multilingualism,multiple language proficiency
bilingualism,dual language proficiency
outsourcing,Subcontracting
publishing companies,publishing houses
benefits,welfare payments
education in skills,skills training
Vatican II,Second Vatican Council
auctions,bidding
auction theory,Bidding Theory
corporate income tax,company tax
law of obligations,contract law
comparison between traditional and new media,media comparison
ageing,population aging
"the relationship between politics, economy and ethics",political-economic ethics
the relation between science and philosophy,science-philosophy interface
fatigue,tiredness
tax on wealth/wealth tax,asset tax
capital structure,financial structure
addiction,dependency
addiction care,substance abuse treatment
insurance,coverage
actuarial mathematics,Actuarial science
welfare states,social safety nets
victimology,study of victims
visual perception,sight perception
popular culture,mass culture
inventory systems,stock management
leisure studies,recreation studies
voluntary work,volunteer service
web-based application design,web design
web services,online services
web technology,internet technology
well-being (als in client well-being = subjectieve maat van Quality of Life),quality of life
world bank,international financial institution
work-home interaction,work-life balance
pressure of work,workload pressure
teamwork,collaborative work
unemployment,joblessness
verbs,action words
whiplash,neck strain
philosophy,metaphysics
Wisdom literature,philosophical texts
wilderness,wildlands
world wide web,the web
self-regulation,self-control
"soul (theological, neuroscientific...)",spirit
random violence,senseless violence
automatic parsing,automated parsing
search engine,information retrieval system
theories of care,care models
South African law,South African legal system
asset pricing,asset valuation
pension economics,retirement economics
Sensemaking,meaning-making
Bilingual development,dual language development
Language and education,linguistic education
Statehood,nationhood
Refugees,asylum seekers
